[ 2570.871885] google_charger: usbchg=USB typec=C usbv=4871 usbc=488 usbMv=5000 usbMc=500
[ 2580.311613] before: swapin tgid 25409 pid 25409 name "m.pubg.krmobile" vma 726e2000
[ 2580.311935] before: swapin tgid 25409 pid 25409 name "m.pubg.krmobile" vma 7fbe1fd000
[ 2580.312241] before: swapin tgid 25409 pid 25409 name "m.pubg.krmobile" vma 705f8000
[ 2580.315359] before: swapin tgid 25409 pid 25409 name "m.pubg.krmobile" vma 7fbb976000
[ 2580.315381] before: swapin tgid 25409 pid 25409 name "m.pubg.krmobile" vma 7fba59f000
[ 2580.315429] before: swapin tgid 25409 pid 25409 name "m.pubg.krmobile" vma 7fbd098000
[ 2580.315470] before: swapin tgid 25409 pid 25409 name "m.pubg.krmobile" vma 7126c000
[ 2580.315787] before: swapin tgid 25409 pid 25409 name "m.pubg.krmobile" vma 727f8000
[ 2580.315818] before: swapin tgid 25409 pid 25409 name "m.pubg.krmobile" vma 705fd000
[ 2580.318017] before: swapin tgid 25409 pid 25409 name "m.pubg.krmobile" vma 7f28a69000
[ 2580.321523] before: swapin tgid 25409 pid 25409 name "m.pubg.krmobile" vma 7fbdcc7000
[ 2580.324706] type=1400 audit(1643859754.626:518): avc: denied { read } for comm="Lacrima_startup" name="zoneinfo" dev="proc" ino=4026531860 scontext=u:r:untrusted_app:s0:c127,c256,c512,c768 tcontext=u:object_r:proc_zoneinfo:s0 tclass=file permissive=0 app=com.instagram.android duplicate messages suppressed
[ 2580.326140] type=1400 audit(1643860184.349:519): avc: denied { read } for comm="m.pubg.krmobile" name="tcp" dev="proc" ino=4026532130 scontext=u:r:untrusted_app:s0:c158,c256,c512,c768 tcontext=u:object_r:proc_net_tcp_udp:s0 tclass=file permissive=0 app=com.pubg.krmobile
[ 2580.326302] type=1400 audit(1643860184.349:519): avc: denied { read } for comm="m.pubg.krmobile" name="tcp" dev="proc" ino=4026532130 scontext=u:r:untrusted_app:s0:c158,c256,c512,c768 tcontext=u:object_r:proc_net_tcp_udp:s0 tclass=file permissive=0 app=com.pubg.krmobile
[ 2580.327193] type=1400 audit(1643860184.349:520): avc: denied { read } for comm="m.pubg.krmobile" name="tcp6" dev="proc" ino=4026533427 scontext=u:r:untrusted_app:s0:c158,c256,c512,c768 tcontext=u:object_r:proc_net_tcp_udp:s0 tclass=file permissive=0 app=com.pubg.krmobile
[ 2580.340514] before: swapin tgid 25409 pid 25409 name "m.pubg.krmobile" vma 7fbe191000
[ 2580.343489] before: swapin tgid 25409 pid 25409 name "m.pubg.krmobile" vma 7f289a0000
[ 2580.343518] before: swapin tgid 25409 pid 25409 name "m.pubg.krmobile" vma 7fbe264000
[ 2580.374491] before: swapin tgid 25409 pid 25409 name "m.pubg.krmobile" vma 7f28b4b000
[ 2580.391225] before: swapin tgid 25409 pid 25409 name "m.pubg.krmobile" vma 7fbe189000
[ 2580.406920] before: swapin tgid 25409 pid 25409 name "m.pubg.krmobile" vma 7f289f8000
[ 2580.414953] before: swapin tgid 25409 pid 25432 name "Thread-2" vma 7f2347b000
[ 2580.414961] before: swapin tgid 25409 pid 25432 name "Thread-2" vma 7f2347c000
[ 2580.416989] before: swapin tgid 25409 pid 25432 name "Thread-2" vma 7085c000
[ 2580.417066] before: swapin tgid 25409 pid 25432 name "Thread-2" vma 7fbc86e000
[ 2580.417252] before: swapin tgid 25409 pid 25432 name "Thread-2" vma 7fbc8a7000
[ 2580.417293] before: swapin tgid 25409 pid 25432 name "Thread-2" vma 7fbc8a1000
[ 2580.423038] before: swapin tgid 25409 pid 25409 name "m.pubg.krmobile" vma 7fbe1f2000
[ 2580.427024] before: swapin tgid 25409 pid 25409 name "m.pubg.krmobile" vma 7fbe18a000
[ 2580.432640] before: swapin tgid 25409 pid 25435 name "SharedPreferenc" vma 7f34f19000
[ 2580.433104] before: swapin tgid 25409 pid 25434 name "SharedPreferenc" vma 71279000
[ 2580.434749] before: swapin tgid 25409 pid 25436 name "queued-work-loo" vma 7f28a7b000
[ 2580.441731] before: swapin tgid 25409 pid 25432 name "Thread-2" vma 70fca000
[ 2580.441758] before: swapin tgid 25409 pid 25432 name "Thread-2" vma 71271000
[ 2580.450046] before: swapin tgid 25409 pid 25409 name "m.pubg.krmobile" vma 7f28a71000
[ 2580.452004] before: swapin tgid 25409 pid 25440 name "FirebaseInstanc" vma 7f28b4c000
[ 2580.452675] before: swapin tgid 25409 pid 25440 name "FirebaseInstanc" vma 709f6000
[ 2580.455268] before: swapin tgid 25409 pid 25444 name "firebase-iid-ex" vma 7fbe1eb000
[ 2580.457939] before: swapin tgid 25409 pid 25447 name "pool-2-thread-4" vma 7f28b2c000
[ 2580.458073] before: swapin tgid 25409 pid 25447 name "pool-2-thread-4" vma 7f2898a000
[ 2580.458590] before: swapin tgid 25409 pid 25443 name "pool-2-thread-2" vma 7fbe291000
[ 2580.461230] before: swapin tgid 25409 pid 25409 name "m.pubg.krmobile" vma 7f28a79000
[ 2580.461560] before: swapin tgid 25409 pid 25409 name "m.pubg.krmobile" vma 7f289f2000
[ 2580.462225] before: swapin tgid 25409 pid 25409 name "m.pubg.krmobile" vma 7126b000
[ 2580.462644] before: swapin tgid 25409 pid 25409 name "m.pubg.krmobile" vma 7fffff7000
[ 2580.463107] before: swapin tgid 25409 pid 25409 name "m.pubg.krmobile" vma 7f289fb000
[ 2580.463294] before: swapin tgid 25409 pid 25409 name "m.pubg.krmobile" vma 7f28b41000
[ 2580.477319] before: swapin tgid 25409 pid 25432 name "Thread-2" vma 70860000
[ 2580.477338] before: swapin tgid 25409 pid 25432 name "Thread-2" vma 70861000
[ 2580.481879] before: swapin tgid 25409 pid 25451 name "SharedPreferenc" vma 7f34f1a000
[ 2580.485299] before: swapin tgid 25409 pid 25432 name "Thread-2" vma 7085f000
[ 2580.491774] before: swapin tgid 25409 pid 25453 name "AsyncTask #1" vma 70964000
[ 2580.491805] before: swapin tgid 25409 pid 25453 name "AsyncTask #1" vma 70992000
[ 2580.494492] before: swapin tgid 25409 pid 25456 name "AsyncTask #2" vma 7fbe181000
