UID            PID  PPID C STIME TTY          TIME CMD
root           446     2 0 13:27:49 ?     00:00:00 [irq/583-wdog-sn]
root           447     2 0 13:27:49 ?     00:00:00 [irq/584-wdog-ba]
root           448     2 0 13:27:49 ?     00:00:00 [irq/586-aicl-do]
root           449     2 0 13:27:49 ?     00:00:00 [irq/588-temp-ch]
root           450     2 0 13:27:49 ?     00:00:00 [irq/58-qcom,tem]
root           451     2 0 13:27:49 ?     00:00:00 [irq/43-qcom,tem]
root           452     2 0 13:27:49 ?     00:00:00 [irq/74-qcom,tem]
root           453     2 0 13:27:49 ?     00:00:00 [irq/69-bcl-vbat]
root           454     2 0 13:27:49 ?     00:00:00 [irq/70-bcl-vbat]
root           455     2 0 13:27:49 ?     00:00:00 [irq/71-bcl-vbat]
root           456     2 0 13:27:49 ?     00:00:00 [irq/88-bcl-vbat]
root           457     2 0 13:27:49 ?     00:00:00 [irq/89-bcl-vbat]
root           458     2 0 13:27:49 ?     00:00:00 [irq/90-bcl-vbat]
root           459     2 0 13:27:49 ?     00:00:00 [irq/61-thr-int-]
root           460     2 0 13:27:49 ?     00:00:00 [irq/55-thr-int-]
root           461     2 0 13:27:49 ?     00:00:00 [irq/91-thr-int-]
root           469     2 0 13:27:49 ?     00:00:00 [irq/56-sig-tx]
root           470     2 0 13:27:49 ?     00:00:00 [irq/62-sig-rx]
root           471     2 0 13:27:49 ?     00:00:00 [usbpd0]
root           472     2 0 13:27:49 ?     00:00:00 [usbpd0]
root           473     2 0 13:27:49 ?     00:00:00 [k_sm_usb]
root           474     2 0 13:27:49 ?     00:00:00 [irq/505-pwr_eve]
root           475     2 0 13:27:49 ?     00:00:00 [irq/504-dp_hs_p]
root           476     2 0 13:27:49 ?     00:00:00 [irq/507-dm_hs_p]
root           477     2 0 13:27:49 ?     00:00:00 [irq/506-ss_phy_]
root           478     2 0 13:27:49 ?     00:00:00 [irq/435-arm-smm]
root           479     2 0 13:27:49 ?     00:00:00 [usb_bam_wq]
root           488     2 0 13:27:49 ?     00:00:00 [rq_stats]
root           489     2 0 13:27:49 ?     00:00:00 [msm_perf:events]
root           490     2 0 13:27:49 ?     00:00:00 [irq/436-arm-smm]
root           491     2 0 13:27:49 ?     00:00:00 [irq/437-arm-smm]
root           492     2 0 13:27:49 ?     00:00:00 [irq/438-arm-smm]
root           493     2 0 13:27:49 ?     00:00:00 [irq/439-arm-smm]
root           494     2 0 13:27:49 ?     00:00:00 [irq/440-arm-smm]
root           495     2 0 13:27:49 ?     00:00:00 [irq/441-arm-smm]
root           496     2 0 13:27:49 ?     00:00:00 [irq/442-arm-smm]
root           497     2 0 13:27:49 ?     00:00:00 [irq/443-arm-smm]
root           498     2 0 13:27:49 ?     00:00:00 [irq/444-arm-smm]
root           499     2 0 13:27:49 ?     00:00:00 [irq/445-arm-smm]
root           500     2 0 13:27:49 ?     00:00:00 [irq/446-arm-smm]
root           501     2 0 13:27:49 ?     00:00:00 [irq/447-arm-smm]
root           502     2 0 13:27:49 ?     00:00:00 [irq/448-arm-smm]
root           503     2 0 13:27:49 ?     00:00:00 [irq/449-arm-smm]
root           504     2 0 13:27:49 ?     00:00:00 [irq/450-arm-smm]
root           505     2 0 13:27:49 ?     00:00:00 [sb-3]
root           506     2 0 13:27:49 ?     00:00:00 [ngd_rx_thread3]
