[ 6366.743947] google_charger: usbchg=USB typec=C usbv=4923 usbc=431 usbMv=5000 usbMc=500
[ 6376.679087] before: swapin tgid 9563 pid 9609 name "pool-6-thread-1" vma 70de6000
[ 6376.679103] before: swapin tgid 9563 pid 9563 name ".candycrushsaga" vma 9ed23000
[ 6376.679124] before: swapin tgid 9563 pid 9609 name "pool-6-thread-1" vma 7f30805000
[ 6376.679135] before: swapin tgid 9563 pid 9609 name "pool-6-thread-1" vma 70ee6000
[ 6376.679144] before: swapin tgid 9563 pid 9609 name "pool-6-thread-1" vma 7ec772a000
[ 6376.679152] before: swapin tgid 9563 pid 9609 name "pool-6-thread-1" vma 70f14000
[ 6376.679160] before: swapin tgid 9563 pid 9609 name "pool-6-thread-1" vma 7f2d45f000
[ 6376.679165] before: swapin tgid 9563 pid 9563 name ".candycrushsaga" vma 9ecb8000
[ 6376.679171] before: swapin tgid 9563 pid 9609 name "pool-6-thread-1" vma 70ef3000
[ 6376.679180] before: swapin tgid 9563 pid 9563 name ".candycrushsaga" vma 9ecb7000
[ 6376.679181] before: swapin tgid 9563 pid 9609 name "pool-6-thread-1" vma 70d6b000
[ 6376.679201] before: swapin tgid 9563 pid 9563 name ".candycrushsaga" vma 716be000
[ 6376.679206] before: swapin tgid 9563 pid 9609 name "pool-6-thread-1" vma 70ee8000
[ 6376.679226] before: swapin tgid 9563 pid 9563 name ".candycrushsaga" vma 7e9db89000
[ 6376.679239] before: swapin tgid 9563 pid 9609 name "pool-6-thread-1" vma 7ed2852000
[ 6376.679240] before: swapin tgid 9563 pid 9563 name ".candycrushsaga" vma 7eb2e4f000
[ 6376.679249] before: swapin tgid 9563 pid 9563 name ".candycrushsaga" vma 7ea698f000
[ 6376.679253] before: swapin tgid 9563 pid 9609 name "pool-6-thread-1" vma 7f2d4be000
[ 6376.679262] before: swapin tgid 9563 pid 9563 name ".candycrushsaga" vma 7e9db9a000
[ 6376.679265] before: swapin tgid 9563 pid 9609 name "pool-6-thread-1" vma 7f2d4bf000
[ 6376.679274] before: swapin tgid 9563 pid 9617 name "GLThread 426" vma 7f28989000
[ 6376.679278] before: swapin tgid 9563 pid 9563 name ".candycrushsaga" vma 7e9db6d000
[ 6376.679279] before: swapin tgid 9563 pid 9609 name "pool-6-thread-1" vma 7f30850000
[ 6376.679291] before: swapin tgid 9563 pid 9563 name ".candycrushsaga" vma 71105000
[ 6376.679335] before: swapin tgid 9563 pid 9594 name "AsyncTask #2" vma 7ecf073000
[ 6376.679352] before: swapin tgid 9563 pid 9594 name "AsyncTask #2" vma 9ecee000
[ 6376.679360] before: swapin tgid 9563 pid 9594 name "AsyncTask #2" vma 9eda6000
[ 6376.679366] before: swapin tgid 9563 pid 9594 name "AsyncTask #2" vma 7ecf070000
[ 6376.679397] before: swapin tgid 9563 pid 9594 name "AsyncTask #2" vma 7ecf071000
[ 6376.679415] before: swapin tgid 9563 pid 9594 name "AsyncTask #2" vma 7f28ab8000
[ 6376.679485] before: swapin tgid 9563 pid 9609 name "pool-6-thread-1" vma 70d95000
