[16851.370277] google_charger: usbchg=USB typec=C usbv=4962 usbc=203 usbMv=5000 usbMc=500
[16861.142711] before: swapin tgid 9403 pid 9451 name "pool-6-thread-1" vma 7ecc0ee000
[16861.142717] before: swapin tgid 9403 pid 10141 name "pool-12-thread-" vma 14241000
[16861.142729] before: swapin tgid 9403 pid 10141 name "pool-12-thread-" vma 131c1000
[16861.142740] before: swapin tgid 9403 pid 10141 name "pool-12-thread-" vma 70aba000
[16861.142753] before: swapin tgid 9403 pid 9451 name "pool-6-thread-1" vma 71291000
[16861.142773] before: swapin tgid 9403 pid 10141 name "pool-12-thread-" vma 7ec8d1d000
[16861.142786] before: swapin tgid 9403 pid 9451 name "pool-6-thread-1" vma 70c15000
[16861.142821] before: swapin tgid 9403 pid 9451 name "pool-6-thread-1" vma 7f28d55000
[16861.142825] before: swapin tgid 9403 pid 9637 name "queued-work-loo" vma 7ea6a08000
[16861.142839] before: swapin tgid 9403 pid 9451 name "pool-6-thread-1" vma 7f28dce000
[16861.142853] before: swapin tgid 9403 pid 9637 name "queued-work-loo" vma 7ec8bdb000
[16861.142881] before: swapin tgid 9403 pid 9403 name ".candycrushsaga" vma 7f1f7a2000
[16861.142894] before: swapin tgid 9403 pid 9403 name ".candycrushsaga" vma 14175000
[16861.142910] before: swapin tgid 9403 pid 9403 name ".candycrushsaga" vma 7f1f7c0000
[16861.143021] before: swapin tgid 9403 pid 9451 name "pool-6-thread-1" vma 70c65000
[16861.143061] before: swapin tgid 9403 pid 9451 name "pool-6-thread-1" vma 7fbe176000
[16861.143556] before: swapin tgid 9403 pid 9501 name "GLThread 421" vma 7ec80e9000
[16861.143568] before: swapin tgid 9403 pid 9501 name "GLThread 421" vma 7fbbabd000
[16861.143591] before: swapin tgid 9403 pid 9501 name "GLThread 421" vma 7fbbab9000
[16861.143599] before: swapin tgid 9403 pid 9501 name "GLThread 421" vma 7fbbabe000
[16861.143607] before: swapin tgid 9403 pid 9501 name "GLThread 421" vma 7fbbaba000
[16861.143620] before: swapin tgid 9403 pid 9501 name "GLThread 421" vma 7f28ff6000
[16861.143635] before: swapin tgid 9403 pid 9501 name "GLThread 421" vma 7f28ff7000
[16861.143652] before: swapin tgid 9403 pid 9501 name "GLThread 421" vma 7ec80dd000
