[ 5323.267038] google_charger: usbchg=USB typec=C usbv=4878 usbc=489 usbMv=5000 usbMc=500
[ 5342.221233] after: swapin tgid 21110 pid 21110 name "ps" vma 7ffffff000
[ 5342.221354] after: swapin tgid 21110 pid 21110 name "ps" vma 7ffffff000
[ 5342.221479] after: swapin tgid 21110 pid 21110 name "ps" vma 7ffffff000
[ 5342.221544] after: swapin tgid 21110 pid 21110 name "ps" vma fffef000
[ 5342.221602] after: swapin tgid 21110 pid 21110 name "ps" vma 7ffffff000
[ 5342.221655] after: swapin tgid 21110 pid 21110 name "ps" vma 7ffffff000
[ 5342.221702] after: swapin tgid 21110 pid 21110 name "ps" vma 7ffffff000
[ 5342.221781] after: swapin tgid 21110 pid 21110 name "ps" vma 7ffffff000
[ 5342.221837] after: swapin tgid 21110 pid 21110 name "ps" vma 7ffffff000
[ 5342.221978] after: swapin tgid 21110 pid 21110 name "ps" vma 7ffffff000
[ 5342.222026] after: swapin tgid 21110 pid 21110 name "ps" vma 7ffffff000
[ 5342.222119] after: swapin tgid 21110 pid 21110 name "ps" vma 7ffffff000
[ 5342.222191] after: swapin tgid 21110 pid 21110 name "ps" vma 7ffffff000
[ 5342.222253] after: swapin tgid 21110 pid 21110 name "ps" vma 7ffffff000
[ 5342.222353] after: swapin tgid 21110 pid 21110 name "ps" vma 7ffffff000
[ 5342.222617] after: swapin tgid 21110 pid 21110 name "ps" vma 7ffffff000
[ 5342.222750] after: swapin tgid 21110 pid 21110 name "ps" vma 7ffffff000
[ 5342.223309] after: swapin tgid 21110 pid 21110 name "ps" vma fffef000
[ 5342.223448] after: swapin tgid 21110 pid 21110 name "ps" vma 7ffffff000
[ 5342.223632] after: swapin tgid 21110 pid 21110 name "ps" vma fffef000
[ 5342.223771] after: swapin tgid 21110 pid 21110 name "ps" vma fffef000
[ 5342.224068] after: swapin tgid 21110 pid 21110 name "ps" vma fffef000
[ 5342.224141] after: swapin tgid 21110 pid 21110 name "ps" vma fffef000
[ 5342.224208] after: swapin tgid 21110 pid 21110 name "ps" vma fffef000
[ 5342.224480] after: swapin tgid 21110 pid 21110 name "ps" vma 7ffffff000
[ 5342.224538] after: swapin tgid 21110 pid 21110 name "ps" vma 7ffffff000
[ 5342.224660] after: swapin tgid 21110 pid 21110 name "ps" vma 7ffffff000
[ 5342.224849] after: swapin tgid 21110 pid 21110 name "ps" vma fffef000
[ 5342.253987] after: swapin tgid 3935 pid 3935 name "adbd" vma 7fbd23f000
[ 5342.517433] max1720x 2-0036: s=4->2 c=587187 avg_c=2187 ichgt=140000 vfsoc=98 soc=99 fullsocthr=90
[ 5342.525236] google_charger: usbchg=USB typec=C usbv=4889 usbc=487 usbMv=5000 usbMc=500
[ 5342.525335] sm8150_bms: MSC_PCS chg_state=1f410b103010015 [0x15:3:1:4273:500] chg=u
[ 5342.525342] google_battery: MSC_DIN chg_state=1f410b103010015 f=0x15 chg_s=Charging chg_t=Fast vchg=4273 icl=500
[ 5342.530668] google_battery: MSC_DSG vbatt_idx:2->2 vbatt=4253125 ibatt=587187 fv_uv=4400000 cv_cnt=3 ov_cnt=0
[ 5342.530676] google_battery: MSC_LOGIC cv_cnt=3 ov_cnt=0 temp_idx:2->2, vbatt_idx:2->2, fv=4400000->4400000, cc_max=1400000
[ 5342.530679] google_battery: MSC_VOTE fv_uv=4400000 cc_max=1400000 update_interval=30000
[ 5342.530704] google_charger: MSC_CHG fv_uv=4400000, cc_max=1400000, rerun in 30000 ms (0)
[ 5342.531136] after: swapin tgid 575 pid 591 name "Binder:575_2" vma 7fbcc1a000
[ 5342.543477] healthd: battery l=99 v=4253 t=35.0 h=2 st=4 c=587 fc=2755000 cc=9 chg=u
[ 5342.563082] healthd: battery l=99 v=4253 t=35.0 h=2 st=4 c=587 fc=2755000 cc=9 chg=u
[ 5342.570499] after: swapin tgid 935 pid 1593 name "HwBinder:935_1" vma 7fbbc04000
[ 5342.571072] after: swapin tgid 935 pid 1593 name "HwBinder:935_1" vma 7fbbac6000
[ 5343.211759] swapout tgid 788 pid 788 name "Binder:788_3" vma 7fbcef9000
[ 5344.244354] swapout tgid 789 pid 789 name "main" vma 71502000
