[12834.533216] google_charger: usbchg=USB typec=C usbv=4870 usbc=489 usbMv=5000 usbMc=500
[12834.533324] sm8150_bms: MSC_PCS chg_state=1f4112303010015 [0x15:3:1:4387:500] chg=u
[12887.533210] after: swapin tgid 1 pid 1 name "init" vma 7f84c9d000
[12887.533256] after: swapin tgid 1 pid 1 name "init" vma 7f84c9e000
[12887.533276] after: swapin tgid 1 pid 1 name "init" vma 7f84c9f000
[12887.533298] after: swapin tgid 1 pid 1 name "init" vma 7f84ca0000
[12887.533318] after: swapin tgid 1 pid 1 name "init" vma 7f84d51000
[12887.533337] after: swapin tgid 1 pid 1 name "init" vma 7f84d52000
[12887.533357] after: swapin tgid 1 pid 1 name "init" vma 7f84d53000
[12887.533377] after: swapin tgid 1 pid 1 name "init" vma 7f84d54000
[12887.533394] after: swapin tgid 1 pid 1 name "init" vma 7f84d55000
[12887.533412] after: swapin tgid 1 pid 1 name "init" vma 7f84de4000
[12887.533430] after: swapin tgid 1 pid 1 name "init" vma 7f84de5000
[12887.533449] after: swapin tgid 1 pid 1 name "init" vma 7f84de6000
[12887.533496] after: swapin tgid 1 pid 1 name "init" vma 7f84de7000
[12887.533521] after: swapin tgid 1 pid 1 name "init" vma 7f84de8000
[12887.533547] after: swapin tgid 1 pid 1 name "init" vma 7f83960000
[12887.533567] after: swapin tgid 1 pid 1 name "init" vma 7f83961000
[12887.533585] after: swapin tgid 1 pid 1 name "init" vma 7f83962000
[12887.533604] after: swapin tgid 1 pid 1 name "init" vma 7f83963000
[12887.533622] after: swapin tgid 1 pid 1 name "init" vma 7f83964000
[12887.533642] after: swapin tgid 1 pid 1 name "init" vma 7f84d2f000
[12887.533660] after: swapin tgid 1 pid 1 name "init" vma 7f84d30000
[12887.533679] after: swapin tgid 1 pid 1 name "init" vma 7f84d31000
[12887.533697] after: swapin tgid 1 pid 1 name "init" vma 7f84d32000
[12887.533715] after: swapin tgid 1 pid 1 name "init" vma 7f84d33000
[12887.533827] after: swapin tgid 1 pid 1 name "init" vma 7f84d39000
[12887.533847] after: swapin tgid 1 pid 1 name "init" vma 7f84d3a000
[12887.533867] after: swapin tgid 1 pid 1 name "init" vma 7f84d3b000
