# tracer: nop
#
# entries-in-buffer/entries-written: 5325/5325   #P:8
#
#                              _-----=> irqs-off
#                             / _----=> need-resched
#                            | / _---=> hardirq/softirq
#                            || / _--=> preempt-depth
#                            ||| /     delay
#           TASK-PID   CPU#  ||||    TIMESTAMP  FUNCTION
#              | |       |   ||||       |         |
       UnityMain-6063  [006] d..4  1257.556018: __free_cluster: [REMOTE __free_cluster] free cluster 1882
 send_target_man-200   [000] ...1  1270.413683: send_zram_to_nbd: target sent id 4: 6534 7fb9e3a000 83283
 send_target_man-200   [000] ...1  1270.415742: send_zram_to_nbd: target sent id 4: 6534 7e9f745000 83284
 send_target_man-200   [000] ...1  1270.418227: send_zram_to_nbd: target sent id 4: 6534 7f2d74e000 83285
 send_target_man-200   [000] ...1  1270.420385: send_zram_to_nbd: target sent id 4: 6534 7e9fb21000 83286
 send_target_man-200   [000] ...1  1270.422257: send_zram_to_nbd: target sent id 4: 6534 7e9fb22000 83287
 send_target_man-200   [000] ...1  1270.424351: send_zram_to_nbd: target sent id 4: 6534 7e9fa0e000 83288
 send_target_man-200   [000] ...1  1270.426199: send_zram_to_nbd: target sent id 4: 6534 7e9c90f000 83289
 send_target_man-200   [000] ...1  1270.430519: send_zram_to_nbd: target sent id 4: 6534 7e9fa4a000 8328a
 send_target_man-200   [000] ...1  1270.432776: send_zram_to_nbd: target sent id 4: 6534 7e9fa4b000 8328b
 send_target_man-200   [000] ...1  1270.434911: send_zram_to_nbd: target sent id 4: 6534 7e9fa4c000 8328c
 send_target_man-200   [000] ...1  1270.436972: send_zram_to_nbd: target sent id 4: 6534 7eba0e1000 8328d
 send_target_man-200   [000] ...1  1270.438874: send_zram_to_nbd: target sent id 4: 6534 7e87be0000 8328e
 send_target_man-200   [000] ...1  1270.440683: send_zram_to_nbd: target sent id 4: 6534 7f39894000 8328f
 send_target_man-200   [000] ...1  1270.442368: send_zram_to_nbd: target sent id 4: 6534 7f3989e000 83290
 send_target_man-200   [000] ...1  1270.444029: send_zram_to_nbd: target sent id 4: 6534 7e9fb23000 83291
 send_target_man-200   [000] ...1  1270.445794: send_zram_to_nbd: target sent id 4: 6534 7e9c4be000 83292
 send_target_man-200   [002] ...1  1270.447807: send_zram_to_nbd: target sent id 4: 6534 7e9f61f000 83293
 send_target_man-200   [003] ...1  1270.450027: send_zram_to_nbd: target sent id 4: 6534 7e9fa88000 83294
 send_target_man-200   [003] ...1  1270.451959: send_zram_to_nbd: target sent id 4: 6534 7e9fa17000 83295
 send_target_man-200   [003] ...1  1270.453720: send_zram_to_nbd: target sent id 4: 6534 7e9fa89000 83296
 send_target_man-200   [003] ...1  1270.455557: send_zram_to_nbd: target sent id 4: 6534 7eba03f000 83297
 send_target_man-200   [003] ...1  1270.457776: send_zram_to_nbd: target sent id 4: 6534 7e9ffb6000 83298
 send_target_man-200   [003] ...1  1270.459724: send_zram_to_nbd: target sent id 4: 6534 7eb00c8000 83299
 send_target_man-200   [003] ...1  1270.462268: send_zram_to_nbd: target sent id 4: 6534 7ebacb4000 8329a
 send_target_man-200   [003] ...1  1270.464442: send_zram_to_nbd: target sent id 4: 6534 7e9fb24000 8329b
 send_target_man-200   [003] ...1  1270.467127: send_zram_to_nbd: target sent id 4: 6534 7ea57fa000 8329c
 send_target_man-200   [003] ...1  1270.469088: send_zram_to_nbd: target sent id 4: 6534 7e9c4c0000 8329d
 send_target_man-200   [003] ...1  1270.471026: send_zram_to_nbd: target sent id 4: 6534 7ea5971000 8329e
