# tracer: nop
#
# entries-in-buffer/entries-written: 11966/11966   #P:8
#
#                              _-----=> irqs-off
#                             / _----=> need-resched
#                            | / _---=> hardirq/softirq
#                            || / _--=> preempt-depth
#                            ||| /     delay
#           TASK-PID   CPU#  ||||    TIMESTAMP  FUNCTION
#              | |       |   ||||       |         |
       UnityMain-6014  [006] d..4  1677.122764: __free_cluster: [REMOTE __free_cluster] free cluster 1774
 send_target_man-200   [003] ...1  1687.987553: send_zram_to_nbd: target sent: 6467 7eafe11000 6028f4
 send_target_man-200   [003] ...1  1687.990141: send_zram_to_nbd: target sent: 6467 7eb7acb000 6028f5
 send_target_man-200   [003] ...1  1687.992585: send_zram_to_nbd: target sent: 6467 7f2d6e5000 6028f6
 send_target_man-200   [003] ...1  1687.996293: send_zram_to_nbd: target sent: 6467 7eabc1e000 6028f7
 send_target_man-200   [003] ...1  1687.999004: send_zram_to_nbd: target sent: 6467 7ea19ae000 6028f8
 send_target_man-200   [003] ...1  1688.002314: send_zram_to_nbd: target sent: 6467 7ea19df000 6028f9
 send_target_man-200   [003] ...1  1688.004376: send_zram_to_nbd: target sent: 6467 7ea19af000 6028fa
 send_target_man-200   [003] ...1  1688.006231: send_zram_to_nbd: target sent: 6467 7ea1a29000 6028fb
 send_target_man-200   [003] ...1  1688.008302: send_zram_to_nbd: target sent: 6467 7e9b5bc000 6028fc
 send_target_man-200   [003] ...1  1688.010275: send_zram_to_nbd: target sent: 6467 7e9b5bd000 6028fd
 send_target_man-200   [000] ...1  1688.013536: send_zram_to_nbd: target sent: 6467 7e9b5bf000 6028fe
 send_target_man-200   [000] ...1  1688.015553: send_zram_to_nbd: target sent: 6467 7e9b798000 6028ff
 send_target_man-200   [000] ...1  1688.015576: scan_swap_map_try_cluster_id: [REMOTE scan_swap_map_try_cluster_id] id 4: alloc new cluster 24872
 send_target_man-200   [000] ...1  1688.017324: send_zram_to_nbd: target sent: 6467 7e9b799000 612800
 send_target_man-200   [000] ...1  1688.019649: send_zram_to_nbd: target sent: 6467 7e9b79d000 612801
 send_target_man-200   [000] ...1  1688.021496: send_zram_to_nbd: target sent: 6467 7e9b79e000 612802
 send_target_man-200   [000] ...1  1688.023271: send_zram_to_nbd: target sent: 6467 7e9b7ea000 612803
 send_target_man-200   [000] ...1  1688.027257: send_zram_to_nbd: target sent: 6467 7e9b7ed000 612804
 send_target_man-200   [000] ...1  1688.029795: send_zram_to_nbd: target sent: 6467 7e9baf7000 612805
 send_target_man-200   [000] ...1  1688.031647: send_zram_to_nbd: target sent: 6467 7e9bafc000 612806
 send_target_man-200   [000] ...1  1688.033671: send_zram_to_nbd: target sent: 6467 7e98cc8000 612807
 send_target_man-200   [000] ...1  1688.035759: send_zram_to_nbd: target sent: 6467 7eb7a4a000 612808
 send_target_man-200   [000] ...1  1688.037679: send_zram_to_nbd: target sent: 6467 7e9bb99000 612809
 send_target_man-200   [000] ...1  1688.039587: send_zram_to_nbd: target sent: 6467 7f2d740000 61280a
 send_target_man-200   [000] ...1  1688.041656: send_zram_to_nbd: target sent: 6467 7e98ae0000 61280b
 send_target_man-200   [001] ...1  1688.044106: send_zram_to_nbd: target sent: 6467 7ea1a64000 61280c
 send_target_man-200   [001] ...1  1688.046926: send_zram_to_nbd: target sent: 6467 7eada88000 61280d
 send_target_man-200   [001] ...1  1688.049062: send_zram_to_nbd: target sent: 6467 7eab97a000 61280e
 send_target_man-200   [001] ...1  1688.050911: send_zram_to_nbd: target sent: 6467 7ea173c000 61280f
 send_target_man-200   [001] ...1  1688.052860: send_zram_to_nbd: target sent: 6467 7eabfeb000 612810
