# tracer: nop
#
# entries-in-buffer/entries-written: 38827/38827   #P:1
#
#                              _-----=> irqs-off
#                             / _----=> need-resched
#                            | / _---=> hardirq/softirq
#                            || / _--=> preempt-depth
#                            ||| /     delay
#           TASK-PID   CPU#  ||||    TIMESTAMP  FUNCTION
#              | |       |   ||||       |         |
           <...>-11969 [004] d..2  1981.088051: free_swap_slot: swapfree cache 1b0502
           <...>-11969 [004] ....  1981.088103: do_swap_page: swapin tgid 2264 11969 "peration loader" 7f2d699000 1bc5b5 1 1
           <...>-11969 [004] d..2  1981.088106: free_swap_slot: swapfree cache 1bc5b5
           <...>-11969 [004] ....  1981.088117: do_swap_page: swapin tgid 2264 11969 "peration loader" 7f2d6ae000 1bc5be 1 1
           <...>-11969 [004] d..2  1981.088119: free_swap_slot: swapfree cache 1bc5be
           <...>-11969 [004] ....  1981.088128: do_swap_page: swapin tgid 2264 11969 "peration loader" 7f2d745000 1bc5e2 1 1
           <...>-11969 [004] d..2  1981.088130: free_swap_slot: swapfree cache 1bc5e2
           <...>-3906  [004] d..2  1981.088550: free_swap_slot: swapfree cache 1205fd
           <...>-3906  [004] d..2  1981.088555: free_swap_slot: swapfree cache 1205fc
           <...>-3906  [004] d..2  1981.088558: free_swap_slot: swapfree cache 124502
    Binder:890_2-1111  [004] ....  1981.088719: do_swap_page: swapin tgid 890 1111 "Binder:890_2" 7fbb234000 74181 0 1
           <...>-11969 [004] ....  1981.088811: do_swap_page: swapin tgid 2264 11969 "peration loader" 7f2dde9000 1c0539 1 1
           <...>-11969 [004] d..2  1981.088815: free_swap_slot: swapfree cache 1c0539
           <...>-11969 [004] d..2  1981.088818: free_swap_slot: swapfree cache 19c54e
           <...>-11969 [004] d..2  1981.088831: free_swap_slot: swapfree cache 1a851d
    Binder:890_2-1111  [004] ....  1981.089120: do_swap_page: swapin tgid 890 1111 "Binder:890_2" 7fbb234000 74181 1 1
    Binder:890_2-1111  [004] ....  1981.089136: do_swap_page: swapin tgid 890 1111 "Binder:890_2" 7fbd00c000 ec544 1 1
    Binder:890_2-1111  [004] d..2  1981.089138: free_swap_slot: swapfree cache ec544
           <...>-11969 [004] ....  1981.089384: do_swap_page: swapin tgid 2264 11969 "peration loader" 12f16000 14c22f 0 1
           <...>-11969 [004] ....  1981.089519: do_swap_page: swapin tgid 2264 11969 "peration loader" 12f16000 14c22f 1 1
           <...>-11969 [004] ....  1981.089543: do_swap_page: swapin tgid 2264 11969 "peration loader" 7f233ab000 1c4267 0 1
           <...>-11969 [004] ....  1981.089697: do_swap_page: swapin tgid 2264 11969 "peration loader" 7f233ab000 1c4267 1 1
           <...>-11969 [004] ....  1981.089809: do_swap_page: swapin tgid 2264 11969 "peration loader" 7ed4522000 1b8224 0 1
           <...>-11969 [004] ....  1981.089943: do_swap_page: swapin tgid 2264 11969 "peration loader" 7ed4522000 1b8224 1 1
