[21038.024009] google_charger: usbchg=USB typec=C usbv=4884 usbc=488 usbMv=5000 usbMc=500
[21038.024093] sm8150_bms: MSC_PCS chg_state=1f4108403010015 [0x15:3:1:4228:500] chg=u
[21038.024099] google_battery: MSC_DIN chg_state=1f4108403010015 f=0x15 chg_s=Charging chg_t=Fast vchg=4228 icl=500
[21038.026829] google_battery: MSC_DSG vbatt_idx:2->1 vbatt=4225000 ibatt=86562 fv_uv=4400000 cv_cnt=0 ov_cnt=0
[21038.026834] google_battery: MSC_LOGIC cv_cnt=0 ov_cnt=0 temp_idx:2->2, vbatt_idx:1->1, fv=4300000->4300000, cc_max=1975000
[21064.512140] swapout tgid 1006 pid 1006 name "ip6tables-resto" vma 7fbd5ec000
[21064.512143] swapout tgid 1006 pid 1006 name "ip6tables-resto" vma 7fbda00000
[21064.512144] swapout tgid 1006 pid 1006 name "ip6tables-resto" vma 7fbd821000
[21064.512155] swapout tgid 1006 pid 1006 name "ip6tables-resto" vma 7fbda05000
[21064.512159] swapout tgid 1006 pid 1006 name "ip6tables-resto" vma 7fbda07000
[21064.512162] swapout tgid 1006 pid 1006 name "ip6tables-resto" vma 7fbda06000
[21064.512164] swapout tgid 1006 pid 1006 name "ip6tables-resto" vma 7fbd805000
[21064.512169] swapout tgid 1006 pid 1006 name "ip6tables-resto" vma 7fbd883000
[21064.512172] swapout tgid 1005 pid 1005 name "iptables-restor" vma 7fbda06000
[21064.512174] swapout tgid 1005 pid 1005 name "iptables-restor" vma 7fbd843000
[21064.512179] swapout tgid 1006 pid 1006 name "ip6tables-resto" vma 7fbdfbb000
[21064.512213] swapout tgid 1006 pid 1006 name "ip6tables-resto" vma 7fbd819000
[21064.512218] swapout tgid 1006 pid 1006 name "ip6tables-resto" vma 7fbd82f000
[21064.512222] swapout tgid 1006 pid 1006 name "ip6tables-resto" vma 7fbd82e000
[21064.512233] swapout tgid 1006 pid 1006 name "ip6tables-resto" vma 7fbd823000
[21064.512236] swapout tgid 1006 pid 1006 name "ip6tables-resto" vma 7fbd809000
[21064.512240] swapout tgid 1006 pid 1006 name "ip6tables-resto" vma 7ffffff000
[21064.512244] swapout tgid 1006 pid 1006 name "ip6tables-resto" vma 7fbd826000
