[13805.138366] healthd: battery l=100 v=4392 t=32.2 h=2 st=5 c=-149 fc=2889000 cc=7 chg=u
[13805.305682] before: swapin tgid 16093 pid 16136 name "MultiSignalANRD" vma 7eba3e1000
[13805.305713] before: swapin tgid 16093 pid 16136 name "MultiSignalANRD" vma 7fbe23b000
[13805.305784] before: swapin tgid 16093 pid 16138 name "ProcessAnrError" vma 7eb81d0000
[13805.305812] before: swapin tgid 16093 pid 16138 name "ProcessAnrError" vma 7eb81d1000
[13805.305828] before: swapin tgid 16093 pid 16138 name "ProcessAnrError" vma 7f2dc08000
[13805.305848] before: swapin tgid 16093 pid 16138 name "ProcessAnrError" vma 7eb81cf000
[13805.305874] before: swapin tgid 16093 pid 16138 name "ProcessAnrError" vma 70347000
[13805.305903] before: swapin tgid 16093 pid 16138 name "ProcessAnrError" vma 7eb81ce000
[13805.305926] before: swapin tgid 16093 pid 16138 name "ProcessAnrError" vma 7fbbf31000
[13805.305951] before: swapin tgid 16093 pid 16138 name "ProcessAnrError" vma 7f30b72000
[13805.305971] before: swapin tgid 16093 pid 16138 name "ProcessAnrError" vma 7f2dc1f000
[13805.305988] before: swapin tgid 16093 pid 16138 name "ProcessAnrError" vma 7f2dc20000
[13805.306083] before: swapin tgid 16093 pid 16138 name "ProcessAnrError" vma 7fbe1d5000
[13805.306107] before: swapin tgid 16093 pid 16138 name "ProcessAnrError" vma 7f2dc1e000
[13805.306141] before: swapin tgid 16093 pid 16138 name "ProcessAnrError" vma 7f289d8000
[13805.306369] before: swapin tgid 16093 pid 16117 name "Lacrima_single_" vma 13283000
[13805.306419] before: swapin tgid 16093 pid 16117 name "Lacrima_single_" vma 13261000
[13805.306457] before: swapin tgid 16093 pid 16117 name "Lacrima_single_" vma 1329f000
[13805.306508] before: swapin tgid 16093 pid 16117 name "Lacrima_single_" vma 7f3132f000
[13805.306532] before: swapin tgid 16093 pid 16117 name "Lacrima_single_" vma 9da93000
[13805.306558] before: swapin tgid 16093 pid 16117 name "Lacrima_single_" vma 9e118000
[13805.306819] before: swapin tgid 16093 pid 16247 name "pool-2-thread-1" vma 7fbbf1f000
[13805.306898] before: swapin tgid 16093 pid 16247 name "pool-2-thread-1" vma 6fe05000
[13805.306945] before: swapin tgid 16093 pid 16247 name "pool-2-thread-1" vma 7eaecb3000
[13805.306987] before: swapin tgid 16093 pid 16247 name "pool-2-thread-1" vma 7e8171c000
[13805.307014] before: swapin tgid 16093 pid 16247 name "pool-2-thread-1" vma 7e8170f000
[13805.307063] before: swapin tgid 16093 pid 16247 name "pool-2-thread-1" vma 7e81776000
[13805.307370] before: swapin tgid 16093 pid 16117 name "Lacrima_single_" vma 13277000
[13805.307408] before: swapin tgid 16093 pid 16117 name "Lacrima_single_" vma 15cd1000
[13805.308093] before: swapin tgid 16093 pid 16117 name "Lacrima_single_" vma 7f28b57000
[13805.308118] before: swapin tgid 16093 pid 16117 name "Lacrima_single_" vma 7f28b58000
[13805.308143] before: swapin tgid 16093 pid 16117 name "Lacrima_single_" vma 7e4c12b000
[13805.309205] before: swapin tgid 16093 pid 16117 name "Lacrima_single_" vma 7f28b59000
[13805.309250] before: swapin tgid 16093 pid 16117 name "Lacrima_single_" vma 7f2d739000
[13805.309277] before: swapin tgid 16093 pid 16117 name "Lacrima_single_" vma 7f2d73a000
[13805.309309] before: swapin tgid 16093 pid 16117 name "Lacrima_single_" vma 7e7e460000
[13805.309395] before: swapin tgid 16093 pid 16117 name "Lacrima_single_" vma 7f2d690000
[13805.309849] before: swapin tgid 16093 pid 16117 name "Lacrima_single_" vma 7f28d79000
[13805.309907] before: swapin tgid 16093 pid 16117 name "Lacrima_single_" vma 7f28d77000
[13805.309932] before: swapin tgid 16093 pid 16117 name "Lacrima_single_" vma 7e6f608000
[13805.309958] before: swapin tgid 16093 pid 16117 name "Lacrima_single_" vma 7e7e57b000
[13805.310015] before: swapin tgid 16093 pid 16117 name "Lacrima_single_" vma 71a38000
[13805.310044] before: swapin tgid 16093 pid 16117 name "Lacrima_single_" vma 7e6147a000
[13805.310073] before: swapin tgid 16093 pid 16117 name "Lacrima_single_" vma 7fba83e000
[13805.310104] before: swapin tgid 16093 pid 16117 name "Lacrima_single_" vma 7f2d81c000
[13805.310127] before: swapin tgid 16093 pid 16117 name "Lacrima_single_" vma 7f2d817000
[13805.310154] before: swapin tgid 16093 pid 16117 name "Lacrima_single_" vma 7eae430000
[13805.310269] before: swapin tgid 16093 pid 16117 name "Lacrima_single_" vma 7e7e50a000
[13805.310391] before: swapin tgid 16093 pid 16117 name "Lacrima_single_" vma 7e6b9cc000
[13805.310440] before: swapin tgid 16093 pid 16117 name "Lacrima_single_" vma 7e7ef6f000
[13805.310464] before: swapin tgid 16093 pid 16117 name "Lacrima_single_" vma 7e7ee5f000
[13805.310501] before: swapin tgid 16093 pid 16117 name "Lacrima_single_" vma 71a65000
[13805.310540] before: swapin tgid 16093 pid 16117 name "Lacrima_single_" vma 6fa29000
[13805.310569] before: swapin tgid 16093 pid 16117 name "Lacrima_single_" vma 13491000
[13805.310618] before: swapin tgid 16093 pid 16117 name "Lacrima_single_" vma 6fad1000
[13805.310668] before: swapin tgid 16093 pid 16117 name "Lacrima_single_" vma 15fb2000
[13805.310693] before: swapin tgid 16093 pid 16117 name "Lacrima_single_" vma 15fba000
[13805.310717] before: swapin tgid 16093 pid 16117 name "Lacrima_single_" vma 719aa000
[13805.310740] before: swapin tgid 16093 pid 16117 name "Lacrima_single_" vma 15d2e000
[13805.310765] before: swapin tgid 16093 pid 16117 name "Lacrima_single_" vma 6fb4a000
[13805.310793] before: swapin tgid 16093 pid 16117 name "Lacrima_single_" vma 6fb34000
[13805.310819] before: swapin tgid 16093 pid 16117 name "Lacrima_single_" vma 6fab9000
[13805.310843] before: swapin tgid 16093 pid 16117 name "Lacrima_single_" vma 6fac6000
[13805.310864] before: swapin tgid 16093 pid 16117 name "Lacrima_single_" vma 6fac4000
[13805.310887] before: swapin tgid 16093 pid 16117 name "Lacrima_single_" vma 719a4000
[13805.310910] before: swapin tgid 16093 pid 16117 name "Lacrima_single_" vma 15d2f000
[13805.310933] before: swapin tgid 16093 pid 16117 name "Lacrima_single_" vma 15fb3000
[13805.311024] before: swapin tgid 16093 pid 16117 name "Lacrima_single_" vma 7e7dd56000
[13805.311046] before: swapin tgid 16093 pid 16117 name "Lacrima_single_" vma 7e7dd57000
[13805.311180] before: swapin tgid 16093 pid 16117 name "Lacrima_single_" vma 7f28b65000
[13805.312372] before: swapin tgid 16093 pid 16093 name "stagram.android" vma 70326000
[13805.312409] before: swapin tgid 16093 pid 16093 name "stagram.android" vma 701db000
[13805.312444] before: swapin tgid 16093 pid 16093 name "stagram.android" vma 9e0f9000
[13805.312909] before: swapin tgid 16093 pid 16117 name "Lacrima_single_" vma 7e7e598000
[13805.314450] before: swapin tgid 16093 pid 16093 name "stagram.android" vma 7ed036e000
[13805.314483] before: swapin tgid 16093 pid 16093 name "stagram.android" vma 9e106000
[13805.316690] before: swapin tgid 16093 pid 16093 name "stagram.android" vma 9e0e1000
[13805.316792] before: swapin tgid 16093 pid 16093 name "stagram.android" vma 9e1f7000
[13805.316821] before: swapin tgid 16093 pid 16093 name "stagram.android" vma 13f57000
[13805.316831] before: swapin tgid 16093 pid 16093 name "stagram.android" vma 13f58000
[13805.316854] before: swapin tgid 16093 pid 16093 name "stagram.android" vma 9dd1e000
[13805.316861] before: swapin tgid 16093 pid 16093 name "stagram.android" vma 9e051000
[13805.316874] before: swapin tgid 16093 pid 16093 name "stagram.android" vma 13f59000
[13805.316881] before: swapin tgid 16093 pid 16093 name "stagram.android" vma 9dd3e000
[13805.316889] before: swapin tgid 16093 pid 16093 name "stagram.android" vma 9d9b0000
[13805.316901] before: swapin tgid 16093 pid 16093 name "stagram.android" vma 14fe5000
[13805.316909] before: swapin tgid 16093 pid 16093 name "stagram.android" vma 14fe6000
[13805.316916] before: swapin tgid 16093 pid 16093 name "stagram.android" vma 9d9b4000
[13805.316927] before: swapin tgid 16093 pid 16093 name "stagram.android" vma 9e06d000
[13805.316940] before: swapin tgid 16093 pid 16093 name "stagram.android" vma 6f95c000
[13805.316970] before: swapin tgid 16093 pid 16093 name "stagram.android" vma 9da7e000
[13805.316977] before: swapin tgid 16093 pid 16093 name "stagram.android" vma 7ed036b000
[13805.317123] before: swapin tgid 16093 pid 16117 name "Lacrima_single_" vma 153b2000
[13805.317140] before: swapin tgid 16093 pid 16117 name "Lacrima_single_" vma 9e189000
[13805.317155] before: swapin tgid 16093 pid 16117 name "Lacrima_single_" vma 9db96000
[13805.317165] before: swapin tgid 16093 pid 16117 name "Lacrima_single_" vma 9db27000
