[ 6384.033075] before: swapin tgid 9444 pid 9498 name "GLThread 416" vma 7ea484a000
[ 6384.033087] before: swapin tgid 9444 pid 9498 name "GLThread 416" vma 7ea5150000
[ 6384.033094] before: swapin tgid 9444 pid 9498 name "GLThread 416" vma 7ea5151000
[ 6384.033106] before: swapin tgid 9444 pid 9498 name "GLThread 416" vma 7f3980c000
[ 6384.033115] before: swapin tgid 9444 pid 9498 name "GLThread 416" vma 7eb2bad000
[ 6384.033125] before: swapin tgid 9444 pid 9498 name "GLThread 416" vma 7f3985b000
[ 6384.033132] before: swapin tgid 9444 pid 9498 name "GLThread 416" vma 7eb2c5e000
[ 6384.033141] before: swapin tgid 9444 pid 9498 name "GLThread 416" vma 7e9d1d2000
[ 6384.033151] before: swapin tgid 9444 pid 9498 name "GLThread 416" vma 7f28f7b000
[ 6384.033164] before: swapin tgid 9444 pid 9498 name "GLThread 416" vma 7eca63b000
[ 6384.033176] before: swapin tgid 9444 pid 9498 name "GLThread 416" vma 7eca3e9000
[ 6384.033191] before: swapin tgid 9444 pid 9498 name "GLThread 416" vma 7f28b99000
[ 6384.033211] before: swapin tgid 9444 pid 9498 name "GLThread 416" vma 7eca3eb000
[ 6384.033220] before: swapin tgid 9444 pid 9498 name "GLThread 416" vma 7eca3ec000
[ 6384.033235] before: swapin tgid 9444 pid 9498 name "GLThread 416" vma 7ea6a12000
[ 6384.034070] before: swapin tgid 9444 pid 9485 name "pool-6-thread-1" vma 70269000
[ 6384.034294] before: swapin tgid 9444 pid 9444 name ".candycrushsaga" vma 7f2d68d000
[ 6384.034827] before: swapin tgid 9444 pid 9498 name "GLThread 416" vma 7e9cc2b000
[ 6384.034897] before: swapin tgid 9444 pid 9746 name "GoogleApiHandle" vma 7e70dea000
[ 6384.034901] before: swapin tgid 9444 pid 9498 name "GLThread 416" vma 7eb1db4000
[ 6384.034924] before: swapin tgid 9444 pid 9498 name "GLThread 416" vma 7e9cc77000
[ 6384.034929] before: swapin tgid 9444 pid 9746 name "GoogleApiHandle" vma 7e70de7000
[ 6384.035032] before: swapin tgid 9444 pid 9498 name "GLThread 416" vma 7ed0fdf000
[ 6384.035050] before: swapin tgid 9444 pid 9498 name "GLThread 416" vma 7f28abe000
[ 6384.035057] before: swapin tgid 9444 pid 9444 name ".candycrushsaga" vma 9e1f9000
[ 6384.035113] before: swapin tgid 9444 pid 9498 name "GLThread 416" vma 7f28a7e000
[ 6384.035114] before: swapin tgid 9444 pid 9444 name ".candycrushsaga" vma 70b97000
[ 6384.035139] before: swapin tgid 9444 pid 9444 name ".candycrushsaga" vma 7ea5154000
[ 6384.035143] before: swapin tgid 9444 pid 9498 name "GLThread 416" vma 7fbd33a000
[ 6384.035147] before: swapin tgid 9444 pid 9746 name "GoogleApiHandle" vma 7e9d079000
[ 6384.035149] before: swapin tgid 9444 pid 9444 name ".candycrushsaga" vma 7e9d5d5000
[ 6384.035158] before: swapin tgid 9444 pid 9444 name ".candycrushsaga" vma 7e9d5bd000
[ 6384.035166] before: swapin tgid 9444 pid 9444 name ".candycrushsaga" vma 7ea538e000
[ 6384.035174] before: swapin tgid 9444 pid 9444 name ".candycrushsaga" vma 7e9d2a1000
[ 6384.035187] before: swapin tgid 9444 pid 9746 name "GoogleApiHandle" vma 7e70de8000
[ 6384.035227] before: swapin tgid 9444 pid 9476 name "AsyncTask #3" vma 7ece0fd000
[ 6384.035230] before: swapin tgid 9444 pid 9746 name "GoogleApiHandle" vma 7e70de6000
[ 6384.035248] before: swapin tgid 9444 pid 9476 name "AsyncTask #3" vma 9e1c7000
[ 6384.035260] before: swapin tgid 9444 pid 9476 name "AsyncTask #3" vma 9e279000
[ 6384.035267] before: swapin tgid 9444 pid 9476 name "AsyncTask #3" vma 7ece0fa000
[ 6384.035291] before: swapin tgid 9444 pid 9476 name "AsyncTask #3" vma 7ece0fb000
[ 6384.035310] before: swapin tgid 9444 pid 9476 name "AsyncTask #3" vma 7f28d4f000
[ 6384.035317] before: swapin tgid 9444 pid 9476 name "AsyncTask #3" vma 7f28d50000
[ 6384.035335] before: swapin tgid 9444 pid 9476 name "AsyncTask #3" vma 7f28b65000
[ 6384.035361] before: swapin tgid 9444 pid 9476 name "AsyncTask #3" vma 9e203000
[ 6384.035713] before: swapin tgid 9444 pid 9476 name "AsyncTask #3" vma 7eafb8c000
[ 6384.035758] before: swapin tgid 9444 pid 9476 name "AsyncTask #3" vma 7f2d6ac000
[ 6384.035780] before: swapin tgid 9444 pid 9476 name "AsyncTask #3" vma 7026c000
[ 6384.035840] before: swapin tgid 9444 pid 9476 name "AsyncTask #3" vma 7f2d613000
[ 6384.035853] before: swapin tgid 9444 pid 9476 name "AsyncTask #3" vma 7f2d6c8000
[ 6384.035876] before: swapin tgid 9444 pid 9476 name "AsyncTask #3" vma 7e5c376000
[ 6384.035891] before: swapin tgid 9444 pid 9476 name "AsyncTask #3" vma 7e5c1b4000
[ 6384.035907] before: swapin tgid 9444 pid 9476 name "AsyncTask #3" vma 7eafbae000
[ 6384.035922] before: swapin tgid 9444 pid 9476 name "AsyncTask #3" vma 7f2d614000
[ 6384.036014] before: swapin tgid 9444 pid 9746 name "GoogleApiHandle" vma 7eafdb1000
[ 6384.036172] before: swapin tgid 9444 pid 7368 name "GLThread 416" vma 7eb26d1000
[ 6384.036195] before: swapin tgid 9444 pid 7368 name "GLThread 416" vma 7f398a5000
[ 6384.036206] before: swapin tgid 9444 pid 7368 name "GLThread 416" vma 7ea5303000
[ 6384.036212] before: swapin tgid 9444 pid 7368 name "GLThread 416" vma 7ea5304000
[ 6384.036297] before: swapin tgid 9444 pid 7368 name "AudioTrack" vma 7ed0f5c000
[ 6384.036315] before: swapin tgid 9444 pid 7368 name "AudioTrack" vma 7fbe19b000
[ 6384.036327] before: swapin tgid 9444 pid 7368 name "AudioTrack" vma 7fbe267000
