[11626.134193] before: swapin tgid 9444 pid 9485 name "pool-6-thread-1" vma 7f28de9000
[11626.134366] before: swapin tgid 9444 pid 9444 name ".candycrushsaga" vma 7f20cb1000
[11626.134384] before: swapin tgid 9444 pid 9444 name ".candycrushsaga" vma 7f20ca9000
[11626.134387] before: swapin tgid 9444 pid 9485 name "pool-6-thread-1" vma 70421000
[11626.134446] before: swapin tgid 9444 pid 9485 name "pool-6-thread-1" vma 7fbe177000
[11626.136028] before: swapin tgid 9444 pid 9444 name ".candycrushsaga" vma 7f20cb0000
[11626.136342] before: swapin tgid 9444 pid 9498 name "GLThread 416" vma 7f30a27000
[11626.137092] before: swapin tgid 9444 pid 9498 name "GLThread 416" vma 7eca602000
[11626.137446] before: swapin tgid 9444 pid 9498 name "GLThread 416" vma 7fbc77c000
[11626.137469] before: swapin tgid 9444 pid 9498 name "GLThread 416" vma 7f28edb000
[11626.137478] before: swapin tgid 9444 pid 9498 name "GLThread 416" vma 7f28edd000
[11626.137494] before: swapin tgid 9444 pid 9498 name "GLThread 416" vma 7f28edc000
[11626.137502] before: swapin tgid 9444 pid 9498 name "GLThread 416" vma 7f28b51000
[11626.137513] before: swapin tgid 9444 pid 9498 name "GLThread 416" vma 7eca606000
[11626.137528] before: swapin tgid 9444 pid 9498 name "GLThread 416" vma 7fbab79000
[11626.137534] before: swapin tgid 9444 pid 9498 name "GLThread 416" vma 7eca669000
[11626.137541] before: swapin tgid 9444 pid 9498 name "GLThread 416" vma 7fbab6f000
[11626.137549] before: swapin tgid 9444 pid 9498 name "GLThread 416" vma 7f28d66000
[11626.137558] before: swapin tgid 9444 pid 9498 name "GLThread 416" vma 7f2d61f000
[11626.137567] before: swapin tgid 9444 pid 9498 name "GLThread 416" vma 7eb269c000
[11626.137575] before: swapin tgid 9444 pid 9498 name "GLThread 416" vma 7f28abd000
[11626.137583] before: swapin tgid 9444 pid 9498 name "GLThread 416" vma 7f28f67000
[11626.138043] before: swapin tgid 9444 pid 9498 name "GLThread 416" vma 7eafd3a000
[11626.138062] before: swapin tgid 9444 pid 9498 name "GLThread 416" vma 7fbab76000
[11626.138071] before: swapin tgid 9444 pid 9485 name "pool-6-thread-1" vma 7ecabce000
[11626.138101] before: swapin tgid 9444 pid 9485 name "pool-6-thread-1" vma 7f30869000
[11626.138108] before: swapin tgid 9444 pid 9498 name "GLThread 416" vma 7f28b5b000
[11626.138114] before: swapin tgid 9444 pid 9485 name "pool-6-thread-1" vma 703bf000
[11626.138119] before: swapin tgid 9444 pid 9498 name "GLThread 416" vma 7e9ccc2000
[11626.138122] before: swapin tgid 9444 pid 9485 name "pool-6-thread-1" vma 7ecabcc000
[11626.138136] before: swapin tgid 9444 pid 9485 name "pool-6-thread-1" vma 703ed000
[11626.138149] before: swapin tgid 9444 pid 9485 name "pool-6-thread-1" vma 703cc000
[11626.138161] before: swapin tgid 9444 pid 9485 name "pool-6-thread-1" vma 70244000
[11626.138181] before: swapin tgid 9444 pid 9485 name "pool-6-thread-1" vma 70256000
[11626.138195] before: swapin tgid 9444 pid 9485 name "pool-6-thread-1" vma 703c1000
[11626.138207] before: swapin tgid 9444 pid 9485 name "pool-6-thread-1" vma 7f2d6ed000
[11626.138224] before: swapin tgid 9444 pid 9485 name "pool-6-thread-1" vma 7f28d54000
[11626.138230] before: swapin tgid 9444 pid 9485 name "pool-6-thread-1" vma 7f28d55000
[11626.138235] before: swapin tgid 9444 pid 9485 name "pool-6-thread-1" vma 7f308b6000
[11626.138300] before: swapin tgid 9444 pid 9498 name "GLThread 416" vma 7f28a85000
[11626.138334] before: swapin tgid 9444 pid 9498 name "GLThread 416" vma 7eb2b5e000
[11626.138368] before: swapin tgid 9444 pid 9498 name "GLThread 416" vma 7ea67c4000
[11626.138377] before: swapin tgid 9444 pid 9498 name "GLThread 416" vma 7fbc3e0000
[11626.138381] before: swapin tgid 9444 pid 9498 name "GLThread 416" vma 7fbc3e1000
[11626.138385] before: swapin tgid 9444 pid 9498 name "GLThread 416" vma 7fbab6e000
[11626.138463] before: swapin tgid 9444 pid 9498 name "GLThread 416" vma 7f28f68000
[11626.138607] before: swapin tgid 9444 pid 3912 name "GLThread 416" vma 7ea506f000
[11626.138617] before: swapin tgid 9444 pid 3912 name "GLThread 416" vma 7ea5070000
[11626.138625] before: swapin tgid 9444 pid 9498 name "GLThread 416" vma 7fbb0f4000
