# tracer: nop
#
# entries-in-buffer/entries-written: 19077/19077   #P:8
#
#                              _-----=> irqs-off
#                             / _----=> need-resched
#                            | / _---=> hardirq/softirq
#                            || / _--=> preempt-depth
#                            ||| /     delay
#           TASK-PID   CPU#  ||||    TIMESTAMP  FUNCTION
#              | |       |   ||||       |         |
           <...>-18320 [007] ....  3551.898860: app_switch_start_handler: ###########switch start! foreground 0#############
 send_target_man-200   [001] ...1  4145.482765: send_zram_to_nbd: target sent: 1337 7ed0af0000 45d26
 send_target_man-200   [000] ...1  4145.485167: send_zram_to_nbd: target sent: 1337 7ed0af2000 45d27
 send_target_man-200   [000] ...1  4145.487392: send_zram_to_nbd: target sent: 1337 7ed0a67000 41d3a
 send_target_man-200   [000] ...1  4145.489563: send_zram_to_nbd: target sent: 1337 7eb80f2000 41d3b
 send_target_man-200   [000] ...1  4145.491866: send_zram_to_nbd: target sent: 1337 7ed0af3000 41d3c
 send_target_man-200   [000] ...1  4145.494224: send_zram_to_nbd: target sent: 1337 7ed0af4000 41d3d
 send_target_man-200   [000] ...1  4145.496347: send_zram_to_nbd: target sent: 1337 7ed0ced000 41d3e
 send_target_man-200   [000] ...1  4145.498758: send_zram_to_nbd: target sent: 1337 7eb7ddf000 41d3f
 send_target_man-200   [000] ...1  4145.500901: send_zram_to_nbd: target sent: 1337 7eb7de0000 41d40
 send_target_man-200   [000] ...1  4145.503015: send_zram_to_nbd: target sent: 1337 7f2d5a9000 41d41
 send_target_man-200   [000] ...1  4145.505067: send_zram_to_nbd: target sent: 1337 7eb7f43000 41d42
 send_target_man-200   [000] ...1  4145.507194: send_zram_to_nbd: target sent: 1337 7ed0af5000 41d43
 send_target_man-200   [002] ...1  4145.509272: send_zram_to_nbd: target sent: 1337 7ed0af6000 41d44
 send_target_man-200   [002] ...1  4145.511534: send_zram_to_nbd: target sent: 1337 7ed0af7000 39d3c
 send_target_man-200   [002] ...1  4145.513667: send_zram_to_nbd: target sent: 1337 7eb7de1000 39d3d
 send_target_man-200   [002] ...1  4145.515849: send_zram_to_nbd: target sent: 1337 7eb7de2000 39d3e
 send_target_man-200   [002] ...1  4145.518469: send_zram_to_nbd: target sent: 1337 7eb7de3000 39d3f
