[14862.378422] foreground_evict = 0
[14862.378426] background_evict = 0
[14862.378428] foreground_refault = 0
[14862.378429] background_refault = 0
[14862.378430] foreground_fault = 0
[14862.378431] background_fault = 0
[14868.948804] after: swapin tgid 15838 pid 15909 name "Thread-12" vma 7e5e850000
[14868.948825] after: swapin tgid 15838 pid 15909 name "Thread-12" vma 7e7ca93000
[14868.948885] msm_vidc:   fw: <VFW_E:HostDr:unkn:--------:-> VenusHostDriver_SetSysProperty(1009): QC_IMAGE_VERSION_STRING=VIDEO.IR.1.2-00024-PROD-1
[14868.948890] msm_vidc:   fw: <VFW_E:HostDr:unkn:--------:-> 
[14868.948894] msm_vidc:   fw: <VFW_E:HostDr:unkn:--------:-> VenusHostDriver_SetSysProperty(1012): BUILD_TIME: Sep 12 2019 06:11:37
[14868.948898] msm_vidc:   fw: <VFW_E:HostDr:unkn:--------:-> 
[14868.948902] msm_vidc:   fw: <VFW_E:HostDr:unkn:--------:-> VenusHostDriver_SetSysProperty(1009): QC_IMAGE_VERSION_STRING=VIDEO.IR.1.2-00024-PROD-1
[14868.948905] msm_vidc:   fw: <VFW_E:HostDr:unkn:--------:-> 
[14868.948910] msm_vidc:   fw: <VFW_E:HostDr:unkn:--------:-> VenusHostDriver_SetSysProperty(1012): BUILD_TIME: Sep 12 2019 06:11:37
[14868.948914] msm_vidc:   fw: <VFW_E:HostDr:unkn:--------:-> 
[14868.948991] msm_vidc:  err: This control 980928 is not supported yet
[14868.956586] after: swapin tgid 15838 pid 24235 name "Loader:Extracto" vma 7f2c33e000
[14868.958375] after: swapin tgid 15838 pid 15990 name "RenderThread" vma 7f3980d000
[14868.967993] after: swapin tgid 15838 pid 15851 name "HeapTaskDaemon" vma 146da000
[14868.968025] after: swapin tgid 15838 pid 15851 name "HeapTaskDaemon" vma 146d8000
[14868.969920] msm_vidc:  err: This control 980928 is not supported yet
[14868.969938] msm_vidc:  err: This control 980927 is not supported yet
[14868.972750] after: swapin tgid 15838 pid 24237 name "CodecLooper" vma 7e79067000
[14868.973361] after: swapin tgid 15838 pid 24237 name "CodecLooper" vma 7e79066000
[14868.973758] after: swapin tgid 15838 pid 24237 name "CodecLooper" vma 7e7917d000
[14868.978163] after: swapin tgid 15838 pid 24237 name "CodecLooper" vma 7ed3948000
[14868.978396] after: swapin tgid 15838 pid 24237 name "CodecLooper" vma 7f2c2ee000
[14868.988146] after: swapin tgid 15838 pid 24237 name "CodecLooper" vma 7fbc5ac000
[14868.988228] after: swapin tgid 15838 pid 24237 name "CodecLooper" vma 7fbd178000
[14868.988242] after: swapin tgid 15838 pid 24237 name "CodecLooper" vma 7fbd175000
[14868.988277] after: swapin tgid 15838 pid 24237 name "CodecLooper" vma 7fbd177000
[14868.989075] after: swapin tgid 15838 pid 24237 name "CodecLooper" vma 7fbd176000
[14868.992657] after: swapin tgid 15838 pid 24237 name "CodecLooper" vma 7fbb106000
[14868.993886] after: swapin tgid 15838 pid 15852 name "ReferenceQueueD" vma 7e5e56e000
[14868.993912] after: swapin tgid 15838 pid 15852 name "ReferenceQueueD" vma 7e5e57a000
[14868.993927] after: swapin tgid 15838 pid 15852 name "ReferenceQueueD" vma 7e5e57c000
[14868.993970] after: swapin tgid 15838 pid 15852 name "ReferenceQueueD" vma 7e6a8e8000
[14868.994110] after: swapin tgid 15838 pid 15852 name "ReferenceQueueD" vma 7eae1db000
[14868.994206] after: swapin tgid 15838 pid 15990 name "RenderThread" vma 7e7cb3c000
[14868.994235] after: swapin tgid 15838 pid 15990 name "RenderThread" vma 7e7cba7000
[14868.994248] after: swapin tgid 15838 pid 15990 name "RenderThread" vma 7e7cba8000
[14868.994555] after: swapin tgid 15838 pid 15990 name "RenderThread" vma 7e76667000
[14868.994580] after: swapin tgid 15838 pid 15852 name "ReferenceQueueD" vma 7e5e76f000
[14868.994599] after: swapin tgid 15838 pid 15852 name "ReferenceQueueD" vma 7e5e77c000
[14868.994617] after: swapin tgid 15838 pid 15852 name "ReferenceQueueD" vma 7e5e77d000
[14868.994627] after: swapin tgid 15838 pid 15852 name "ReferenceQueueD" vma 7e5e77f000
[14868.994637] after: swapin tgid 15838 pid 15852 name "ReferenceQueueD" vma 7e5e7a9000
[14868.994653] after: swapin tgid 15838 pid 15852 name "ReferenceQueueD" vma 7e5e7aa000
