# tracer: nop
#
# entries-in-buffer/entries-written: 12131/12131   #P:8
#
#                              _-----=> irqs-off
#                             / _----=> need-resched
#                            | / _---=> hardirq/softirq
#                            || / _--=> preempt-depth
#                            ||| /     delay
#           TASK-PID   CPU#  ||||    TIMESTAMP  FUNCTION
#              | |       |   ||||       |         |
           <...>-29644 [007] ....  6929.206312: app_switch_start_handler: ###########switch start! foreground 0#############
     kworker/0:1-29477 [000] ....  6929.399825: cold_page_sender_work: remote: total sent cold page: 5885
     kworker/0:1-29477 [000] ....  6929.399832: cold_page_sender_work: remote: total faulted cold page: 19
           <...>-4846  [000] ....  7270.151660: read_swap_cache_async: remote readpage 4718 "sql-5-0" 7e99078000 912a6
           <...>-4846  [000] ....  7270.154485: read_swap_cache_async: remote readpage 4718 "sql-5-0" 7e9907a000 912a8
           <...>-4846  [000] ....  7270.157141: read_swap_cache_async: remote readpage 4718 "sql-5-0" 7e9907b000 912a9
           <...>-4846  [000] ....  7270.159817: read_swap_cache_async: remote readpage 4718 "sql-5-0" 7e99079000 912a7
           <...>-4846  [000] ....  7270.162734: read_swap_cache_async: remote readpage 4718 "sql-5-0" 7e9907c000 912aa
           <...>-4846  [000] ....  7270.165656: read_swap_cache_async: remote readpage 4718 "sql-5-0" 7e9907d000 912ab
           <...>-4846  [000] ....  7270.168169: read_swap_cache_async: remote readpage 4718 "sql-5-0" 7e9907f000 912ad
           <...>-4846  [000] ....  7270.170819: read_swap_cache_async: remote readpage 4718 "sql-5-0" 7e99080000 912ae
           <...>-4846  [000] ....  7270.173727: read_swap_cache_async: remote readpage 4718 "sql-5-0" 7e9907e000 912ac
           <...>-4846  [000] ....  7270.176989: read_swap_cache_async: remote readpage 4718 "sql-5-0" 7e99081000 912af
           <...>-4846  [000] ....  7270.182709: read_swap_cache_async: remote readpage 4718 "sql-5-0" 7e99082000 912b0
           <...>-4846  [000] ....  7270.185552: read_swap_cache_async: remote readpage 4718 "sql-5-0" 7e99084000 912b2
           <...>-4846  [000] ....  7270.188340: read_swap_cache_async: remote readpage 4718 "sql-5-0" 7e99085000 912b3
           <...>-4846  [000] ....  7270.191387: read_swap_cache_async: remote readpage 4718 "sql-5-0" 7e99083000 912b1
           <...>-4846  [000] ....  7270.194113: read_swap_cache_async: remote readpage 4718 "sql-5-0" 7e99074000 912a2
           <...>-4846  [000] ....  7270.197352: read_swap_cache_async: remote readpage 4718 "sql-5-0" 7e990bb000 912d9
           <...>-4846  [000] ....  7270.200094: read_swap_cache_async: remote readpage 4718 "sql-5-0" 7e990bc000 912da
           <...>-4846  [000] ....  7270.203846: read_swap_cache_async: remote readpage 4718 "sql-5-0" 7e4f045000 692f5
           <...>-4846  [000] ....  7270.207203: read_swap_cache_async: remote readpage 4718 "sql-5-0" 7e990be000 912dc
           <...>-4846  [000] ....  7270.209768: read_swap_cache_async: remote readpage 4718 "sql-5-0" 7e990bf000 912dd
           <...>-4846  [000] ....  7270.214036: read_swap_cache_async: remote readpage 4718 "sql-5-0" 7e990bd000 912db
           <...>-4846  [000] ....  7270.216576: read_swap_cache_async: remote readpage 4718 "sql-5-0" 7e990c0000 912de
           <...>-4846  [001] ....  7270.219395: read_swap_cache_async: remote readpage 4718 "sql-5-0" 7e990c1000 912df
           <...>-4846  [001] ....  7270.221892: read_swap_cache_async: remote readpage 4718 "sql-5-0" 7e4f037000 692ea
           <...>-4846  [001] ....  7270.224861: read_swap_cache_async: remote readpage 4718 "sql-5-0" 7e4f038000 692eb
           <...>-4846  [001] ....  7270.227646: read_swap_cache_async: remote readpage 4718 "sql-5-0" 7e4f036000 692e9
           <...>-4846  [001] ....  7270.230138: read_swap_cache_async: remote readpage 4718 "sql-5-0" 7e4f039000 692ec
           <...>-4846  [001] ....  7270.233057: read_swap_cache_async: remote readpage 4718 "sql-5-0" 7e4f03a000 692ed
           <...>-4846  [000] ....  7270.235980: read_swap_cache_async: remote readpage 4718 "sql-5-0" 7e4f03c000 692ef
           <...>-4846  [000] ....  7270.240103: read_swap_cache_async: remote readpage 4718 "sql-5-0" 7e4f03d000 692f0
           <...>-4846  [000] ....  7270.243680: read_swap_cache_async: remote readpage 4718 "sql-5-0" 7e4f03b000 692ee
           <...>-4846  [000] ....  7270.246797: read_swap_cache_async: remote readpage 4718 "sql-5-0" 7e4f03e000 692f1
           <...>-4846  [000] ....  7270.249823: read_swap_cache_async: remote readpage 4718 "sql-5-0" 7e4f03f000 692f2
           <...>-4846  [000] ....  7270.253053: read_swap_cache_async: remote readpage 4718 "sql-5-0" 7e4f044000 692f4
           <...>-4846  [000] ....  7270.256135: read_swap_cache_async: remote readpage 4718 "sql-5-0" 7e4f043000 692f3
           <...>-4846  [000] ....  7270.262584: read_swap_cache_async: remote readpage 4718 "sql-5-0" 9ef2a000 61280
           <...>-4846  [000] ....  7270.265846: read_swap_cache_async: remote readpage 4718 "sql-5-0" 9f752000 652a8
           <...>-4846  [000] ....  7270.269226: read_swap_cache_async: remote readpage 4718 "sql-5-0" 9ef49000 61284
           <...>-4846  [000] ....  7270.272244: read_swap_cache_async: remote readpage 4718 "sql-5-0" 9f704000 65298
           <...>-4846  [000] ....  7270.284042: read_swap_cache_async: remote readpage 4718 "sql-5-0" 9f16e000 612c2
           <...>-31121 [001] ....  7270.289117: read_swap_cache_async: remote readpage 4718 "services-3-629" 9ef9a000 61290
           <...>-31121 [001] ....  7270.291852: read_swap_cache_async: remote readpage 4718 "services-3-629" 9f658000 65283
           <...>-4846  [000] ....  7270.303675: read_swap_cache_async: remote readpage 4718 "sql-5-0" 7eb1481000 c9288
           <...>-4846  [000] ....  7270.308083: read_swap_cache_async: remote readpage 4718 "sql-5-0" 7e9903e000 91298
           <...>-4846  [000] ....  7270.312615: read_swap_cache_async: remote readpage 4718 "sql-5-0" 7e7fda5000 85289
           <...>-4846  [000] ....  7270.315948: read_swap_cache_async: remote readpage 4718 "sql-5-0" 7e4f067000 6d207
           <...>-4846  [000] ....  7270.318880: read_swap_cache_async: remote readpage 4718 "sql-5-0" 7e4f049000 692f9
           <...>-4846  [000] ....  7270.321500: read_swap_cache_async: remote readpage 4718 "sql-5-0" 7ecdbd6000 a5273
           <...>-4846  [000] ....  7270.324381: read_swap_cache_async: remote readpage 4718 "sql-5-0" 7e98fde000 91284
           <...>-4846  [000] ....  7270.327130: read_swap_cache_async: remote readpage 4718 "sql-5-0" 7e4f05e000 c924f
           <...>-4846  [000] ....  7270.372577: read_swap_cache_async: remote readpage 4718 "sql-5-0" 7eb146d000 a12c5
           <...>-31119 [001] ....  7270.383291: read_swap_cache_async: remote readpage 4718 "services-3-627" 9f78a000 652be
           <...>-31121 [001] ....  7270.445784: read_swap_cache_async: remote readpage 4718 "services-3-629" 9f75b000 652ac
           <...>-4846  [000] ....  7270.464676: read_swap_cache_async: remote readpage 4718 "sql-5-0" 7eb142e000 c9286
           <...>-4846  [000] ....  7270.467610: read_swap_cache_async: remote readpage 4718 "sql-5-0" 7eb1477000 a12c6
           <...>-4846  [000] ....  7270.470086: read_swap_cache_async: remote readpage 4718 "sql-5-0" 7e99815000 c9280
           <...>-4846  [000] ....  7270.473372: read_swap_cache_async: remote readpage 4718 "sql-5-0" 7e7fe1c000 852b6
           <...>-4846  [000] ....  7270.475731: read_swap_cache_async: remote readpage 4718 "sql-5-0" 7e7fdc3000 85295
           <...>-4846  [000] ....  7270.478103: read_swap_cache_async: remote readpage 4718 "sql-5-0" 7e7fe1b000 852b5
           <...>-4846  [000] ....  7270.480363: read_swap_cache_async: remote readpage 4718 "sql-5-0" 7e4f04d000 692fa
           <...>-4846  [000] ....  7270.482630: read_swap_cache_async: remote readpage 4718 "sql-5-0" 7e7fdc2000 85294
           <...>-4846  [000] ....  7270.484987: read_swap_cache_async: remote readpage 4718 "sql-5-0" 7e7fdc5000 85297
           <...>-4846  [000] ....  7270.488265: read_swap_cache_async: remote readpage 4718 "sql-5-0" 7e7fdc1000 85293
           <...>-4846  [000] ....  7270.490543: read_swap_cache_async: remote readpage 4718 "sql-5-0" 7e7fe0d000 852a8
           <...>-4846  [000] ....  7270.493254: read_swap_cache_async: remote readpage 4718 "sql-5-0" 7e98d78000 8d244
           <...>-4846  [000] ....  7270.495580: read_swap_cache_async: remote readpage 4718 "sql-5-0" 7f2d637000 b5247
           <...>-4846  [000] ....  7270.498275: read_swap_cache_async: remote readpage 4718 "sql-5-0" 7e7fe0c000 852a7
           <...>-4846  [000] ....  7270.500476: read_swap_cache_async: remote readpage 4718 "sql-5-0" 7e7fdad000 8528f
           <...>-4846  [000] ....  7270.502816: read_swap_cache_async: remote readpage 4718 "sql-5-0" 7e7fdc0000 85292
           <...>-4846  [000] ....  7270.504905: read_swap_cache_async: remote readpage 4718 "sql-5-0" 7e7fdc4000 85296
           <...>-4846  [000] ....  7270.507185: read_swap_cache_async: remote readpage 4718 "sql-5-0" 7e98d7f000 8d24b
           <...>-4846  [000] ....  7270.509705: read_swap_cache_async: remote readpage 4718 "sql-5-0" 7e98d7e000 8d24a
           <...>-4846  [000] ....  7270.512332: read_swap_cache_async: remote readpage 4718 "sql-5-0" 7e98d79000 8d245
           <...>-4846  [000] ....  7270.514690: read_swap_cache_async: remote readpage 4718 "sql-5-0" 7e98d77000 8d243
