12c00000-14500000 rw-p 00000000 00:00 0                                  [anon:dalvik-main space (region space)]
7ff9b9000-7ff9ba000 rw-s 00052000 00:12 18482                            /dev/kgsl-3d0
7ff9ba000-7ff9bb000 rw-s 00051000 00:12 18482                            /dev/kgsl-3d0
7ff9bb000-7ff9bc000 rw-s 00050000 00:12 18482                            /dev/kgsl-3d0
7ff9bc000-7ff9bd000 rw-s 0004f000 00:12 18482                            /dev/kgsl-3d0
7ff9bd000-7ff9be000 rw-s 0004e000 00:12 18482                            /dev/kgsl-3d0
7ff9be000-7ff9bf000 rw-s 0004d000 00:12 18482                            /dev/kgsl-3d0
7ff9bf000-7ff9c0000 rw-s 0004c000 00:12 18482                            /dev/kgsl-3d0
7ff9c0000-7ff9c1000 rw-s 0004b000 00:12 18482                            /dev/kgsl-3d0
7ff9c1000-7ff9c2000 rw-s 0004a000 00:12 18482                            /dev/kgsl-3d0
7ff9c2000-7ff9c3000 rw-s 00049000 00:12 18482                            /dev/kgsl-3d0
7ff9c3000-7ff9c4000 rw-s 00048000 00:12 18482                            /dev/kgsl-3d0
7ff9c4000-7ff9c5000 rw-s 00047000 00:12 18482                            /dev/kgsl-3d0
7ff9c5000-7ff9c6000 rw-s 00046000 00:12 18482                            /dev/kgsl-3d0
7ff9c6000-7ff9c7000 rw-s 00045000 00:12 18482                            /dev/kgsl-3d0
7ff9c7000-7ff9c8000 rw-s 00044000 00:12 18482                            /dev/kgsl-3d0
7ff9c8000-7ff9c9000 rw-s 00043000 00:12 18482                            /dev/kgsl-3d0
7ff9c9000-7ff9ca000 rw-s 00042000 00:12 18482                            /dev/kgsl-3d0
7ff9ca000-7ff9cb000 rw-s 00041000 00:12 18482                            /dev/kgsl-3d0
7ff9cb000-7ff9cc000 rw-s 00040000 00:12 18482                            /dev/kgsl-3d0
7ff9cc000-7ff9cd000 rw-s 0003f000 00:12 18482                            /dev/kgsl-3d0
7ff9cd000-7ff9ce000 rw-s 0003e000 00:12 18482                            /dev/kgsl-3d0
7ff9ce000-7ff9cf000 rw-s 0003d000 00:12 18482                            /dev/kgsl-3d0
7ff9cf000-7ff9d0000 rw-s 0003c000 00:12 18482                            /dev/kgsl-3d0
7ffa10000-7ffa50000 rw-s 00033000 00:12 18482                            /dev/kgsl-3d0
7ffa50000-7ffb10000 rw-s 00032000 00:12 18482                            /dev/kgsl-3d0
7ffb10000-7ffb30000 rw-s 0002b000 00:12 18482                            /dev/kgsl-3d0
7ffb31000-7ffb32000 rw-s 0003b000 00:12 18482                            /dev/kgsl-3d0
7ffb32000-7ffb33000 rw-s 00039000 00:12 18482                            /dev/kgsl-3d0
7ffb33000-7ffb34000 rw-s 00038000 00:12 18482                            /dev/kgsl-3d0
7ffb34000-7ffb35000 rw-s 00037000 00:12 18482                            /dev/kgsl-3d0
7ffb35000-7ffb36000 rw-s 00036000 00:12 18482                            /dev/kgsl-3d0
7ffb36000-7ffb37000 rw-s 00035000 00:12 18482                            /dev/kgsl-3d0
7ffb37000-7ffb38000 rw-s 00034000 00:12 18482                            /dev/kgsl-3d0
7ffb38000-7ffb40000 rw-s 0002a000 00:12 18482                            /dev/kgsl-3d0
7ffb40000-7ffb60000 rw-s 00029000 00:12 18482                            /dev/kgsl-3d0
7ffb60000-7fff60000 rw-s 00027000 00:12 18482                            /dev/kgsl-3d0
7fff61000-7fff62000 rw-s 00031000 00:12 18482                            /dev/kgsl-3d0
7fff62000-7fff63000 rw-s 00030000 00:12 18482                            /dev/kgsl-3d0
7fff63000-7fff64000 rw-s 0002f000 00:12 18482                            /dev/kgsl-3d0
7fff64000-7fff65000 rw-s 0002e000 00:12 18482                            /dev/kgsl-3d0
7fff65000-7fff66000 rw-s 0002d000 00:12 18482                            /dev/kgsl-3d0
7fff66000-7fff67000 rw-s 0002c000 00:12 18482                            /dev/kgsl-3d0
7fff68000-7fff69000 rw-s 00110000 00:12 18482                            /dev/kgsl-3d0
7fff69000-7fff6a000 rw-s 00025000 00:12 18482                            /dev/kgsl-3d0
7fff6a000-7fff6c000 rw-s 00024000 00:12 18482                            /dev/kgsl-3d0
