[ 9796.514413] foreground_evict = 0
[ 9796.514417] background_evict = 0
[ 9796.514418] foreground_refault = 0
[ 9796.514419] background_refault = 0
[ 9796.514420] foreground_fault = 0
[ 9802.159476] after: swapin tgid 15666 pid 15817 name "RenderThread" vma 7e77363000
[ 9802.159484] after: swapin tgid 15666 pid 15817 name "RenderThread" vma 7e77364000
[ 9802.159491] after: swapin tgid 15666 pid 15817 name "RenderThread" vma 7e77365000
[ 9802.159499] after: swapin tgid 15666 pid 15817 name "RenderThread" vma 7e77366000
[ 9802.159508] after: swapin tgid 15666 pid 15817 name "RenderThread" vma 7e77369000
[ 9802.159517] after: swapin tgid 15666 pid 15817 name "RenderThread" vma 7e7736a000
[ 9802.159524] after: swapin tgid 15666 pid 15817 name "RenderThread" vma 7e7736b000
[ 9802.159532] after: swapin tgid 15666 pid 15817 name "RenderThread" vma 7e7736c000
[ 9802.159547] after: swapin tgid 15666 pid 15817 name "RenderThread" vma 7e7736d000
[ 9802.159555] after: swapin tgid 15666 pid 15817 name "RenderThread" vma 7e7736e000
[ 9802.159562] after: swapin tgid 15666 pid 15817 name "RenderThread" vma 7e7736f000
[ 9802.159570] after: swapin tgid 15666 pid 15817 name "RenderThread" vma 7e77370000
[ 9802.159577] after: swapin tgid 15666 pid 15817 name "RenderThread" vma 7e77371000
[ 9802.159585] after: swapin tgid 15666 pid 15817 name "RenderThread" vma 7e77372000
[ 9802.159592] after: swapin tgid 15666 pid 15817 name "RenderThread" vma 7e77373000
[ 9802.159609] after: swapin tgid 15666 pid 15817 name "RenderThread" vma 7e77374000
[ 9802.159616] after: swapin tgid 15666 pid 15817 name "RenderThread" vma 7e77375000
[ 9802.159629] after: swapin tgid 15666 pid 15817 name "RenderThread" vma 7e77376000
[ 9802.159638] after: swapin tgid 15666 pid 15817 name "RenderThread" vma 7e77377000
[ 9802.159644] after: swapin tgid 15666 pid 15817 name "RenderThread" vma 7e77378000
[ 9802.159656] after: swapin tgid 15666 pid 15817 name "RenderThread" vma 7e77379000
