# tracer: nop
#
# entries-in-buffer/entries-written: 8468/8468   #P:8
#
#                              _-----=> irqs-off
#                             / _----=> need-resched
#                            | / _---=> hardirq/softirq
#                            || / _--=> preempt-depth
#                            ||| /     delay
#           TASK-PID   CPU#  ||||    TIMESTAMP  FUNCTION
#              | |       |   ||||       |         |
           <...>-5987  [005] d..4   660.537598: __free_cluster: [REMOTE __free_cluster] free cluster 975
 send_target_man-200   [003] ...1   683.010857: send_zram_to_nbd: target sent: 6475 7eaedeb000 547a
 send_target_man-200   [003] ...1   683.012784: send_zram_to_nbd: target sent: 6475 7eaedec000 547b
 send_target_man-200   [003] ...1   683.015164: send_zram_to_nbd: target sent: 6475 7eaede1000 547c
 send_target_man-200   [003] ...1   683.017464: send_zram_to_nbd: target sent: 6475 7eaeded000 547d
 send_target_man-200   [003] ...1   683.019565: send_zram_to_nbd: target sent: 6475 7eaedee000 547e
 send_target_man-200   [003] ...1   683.021696: send_zram_to_nbd: target sent: 6475 7eaede2000 547f
 send_target_man-200   [003] ...1   683.023785: send_zram_to_nbd: target sent: 6475 7eaedef000 5480
 send_target_man-200   [003] ...1   683.026234: send_zram_to_nbd: target sent: 6475 7eaedf5000 5481
 send_target_man-200   [000] ...1   683.029110: send_zram_to_nbd: target sent: 6475 7eaee36000 5482
 send_target_man-200   [001] ...1   683.032369: send_zram_to_nbd: target sent: 6475 7eafed1000 5483
 send_target_man-200   [000] ...1   683.035904: send_zram_to_nbd: target sent: 6475 7eaf949000 5484
 send_target_man-200   [000] ...1   683.038072: send_zram_to_nbd: target sent: 6475 7eaecb5000 5485
 send_target_man-200   [002] ...1   683.040719: send_zram_to_nbd: target sent: 6475 7e9c90f000 5486
 send_target_man-200   [002] ...1   683.042705: send_zram_to_nbd: target sent: 6475 7eaeb93000 5487
 send_target_man-200   [002] ...1   683.044687: send_zram_to_nbd: target sent: 6475 7eaec58000 5488
 send_target_man-200   [002] ...1   683.046791: send_zram_to_nbd: target sent: 6475 7eaf947000 5489
 send_target_man-200   [002] ...1   683.048854: send_zram_to_nbd: target sent: 6475 7eaf95e000 548a
 send_target_man-200   [000] ...1   683.051292: send_zram_to_nbd: target sent: 6475 7e9c910000 548b
 send_target_man-200   [000] ...1   683.053569: send_zram_to_nbd: target sent: 6475 7eaf243000 548c
 send_target_man-200   [000] ...1   683.056000: send_zram_to_nbd: target sent: 6475 7eaf244000 548d
