7fda4b000-7fda4c000 rw-s 000ea000 00:12 80                               /dev/kgsl-3d0
7fdc10000-7fddf0000 rw-s 00110000 00:12 80                               /dev/kgsl-3d0
7fdef0000-7fdf30000 rw-s 000d8000 00:12 80                               /dev/kgsl-3d0
7fdf31000-7fdf32000 rw-s 000e9000 00:12 80                               /dev/kgsl-3d0
7fe241000-7fe243000 rw-s 000d6000 00:12 80                               /dev/kgsl-3d0
7fe244000-7fe246000 rw-s 000d1000 00:12 80                               /dev/kgsl-3d0
7fe246000-7fe247000 rw-s 000d0000 00:12 80                               /dev/kgsl-3d0
7fe247000-7fe248000 rw-s 000cf000 00:12 80                               /dev/kgsl-3d0
7fe248000-7fe249000 rw-s 000ce000 00:12 80                               /dev/kgsl-3d0
7fe249000-7fe24a000 rw-s 000cd000 00:12 80                               /dev/kgsl-3d0
7fe24a000-7fe24b000 rw-s 000cc000 00:12 80                               /dev/kgsl-3d0
7fe24b000-7fe24c000 rw-s 000cb000 00:12 80                               /dev/kgsl-3d0
7fe24c000-7fe24e000 rw-s 000c9000 00:12 80                               /dev/kgsl-3d0
7fe24e000-7fe250000 rw-s 000c8000 00:12 80                               /dev/kgsl-3d0
7fe250000-7fe270000 rw-s 000b2000 00:12 80                               /dev/kgsl-3d0
7fe270000-7fe280000 rw-s 000be000 00:12 80                               /dev/kgsl-3d0
7fe280000-7fe290000 rw-s 000bc000 00:12 80                               /dev/kgsl-3d0
7fe2d1000-7fe2d3000 rw-s 000c7000 00:12 80                               /dev/kgsl-3d0
7fe2d5000-7fe2d6000 rw-s 000c5000 00:12 80                               /dev/kgsl-3d0
7fe2d9000-7fe2db000 rw-s 000c1000 00:12 80                               /dev/kgsl-3d0
7fe2db000-7fe2dc000 rw-s 000c0000 00:12 80                               /dev/kgsl-3d0
7fe2dc000-7fe2dd000 rw-s 000bf000 00:12 80                               /dev/kgsl-3d0
7fe2dd000-7fe2de000 rw-s 000bd000 00:12 80                               /dev/kgsl-3d0
7fe8b0000-7fe8d0000 rw-s 000ac000 00:12 80                               /dev/kgsl-3d0
7fe914000-7fe916000 rw-s 000b3000 00:12 80                               /dev/kgsl-3d0
7fe9a0000-7fe9c0000 rw-s 00118000 00:12 80                               /dev/kgsl-3d0
7fe9ef000-7fe9f0000 rw-s 000b4000 00:12 80                               /dev/kgsl-3d0
7fea00000-7fea20000 rw-s 00195000 00:12 80                               /dev/kgsl-3d0
7feb00000-7feb20000 rw-s 00094000 00:12 80                               /dev/kgsl-3d0
7feb20000-7febe0000 rw-s 00093000 00:12 80                               /dev/kgsl-3d0
7fec0f000-7fec10000 rw-s 00134000 00:12 80                               /dev/kgsl-3d0
7fed9f000-7feda0000 rw-s 001a8000 00:12 80                               /dev/kgsl-3d0
7fedc0000-7fee18000 rw-s 000b0000 00:12 80                               /dev/kgsl-3d0
7fee76000-7fee7e000 rw-s 00198000 00:12 80                               /dev/kgsl-3d0
7fefb9000-7fefba000 rw-s 0019d000 00:12 80                               /dev/kgsl-3d0
7ff180000-7ff1a0000 rw-s 00124000 00:12 80                               /dev/kgsl-3d0
7ff1b6000-7ff1b7000 rw-s 00186000 00:12 80                               /dev/kgsl-3d0
7ff1b7000-7ff1b8000 rw-s 00185000 00:12 80                               /dev/kgsl-3d0
7ff1b8000-7ff1b9000 rw-s 00184000 00:12 80                               /dev/kgsl-3d0
7ff1b9000-7ff1ba000 rw-s 00182000 00:12 80                               /dev/kgsl-3d0
7ff1ba000-7ff1bb000 rw-s 00181000 00:12 80                               /dev/kgsl-3d0
7ff1bb000-7ff1bc000 rw-s 000e2000 00:12 80                               /dev/kgsl-3d0
7ff1bc000-7ff1bd000 rw-s 0017d000 00:12 80                               /dev/kgsl-3d0
7ff1bd000-7ff1be000 rw-s 0017c000 00:12 80                               /dev/kgsl-3d0
7ff1be000-7ff1bf000 rw-s 0017b000 00:12 80                               /dev/kgsl-3d0
7ff1bf000-7ff1c0000 rw-s 0017a000 00:12 80                               /dev/kgsl-3d0
7ff1c0000-7ff1c1000 rw-s 0016d000 00:12 80                               /dev/kgsl-3d0
7ff1c1000-7ff1c2000 rw-s 000a6000 00:12 80                               /dev/kgsl-3d0
7ff1c2000-7ff1c3000 rw-s 000a5000 00:12 80                               /dev/kgsl-3d0
7ff1c3000-7ff1c4000 rw-s 000a4000 00:12 80                               /dev/kgsl-3d0
7ff1c4000-7ff1c5000 rw-s 000a3000 00:12 80                               /dev/kgsl-3d0
7ff1c5000-7ff1c6000 rw-s 000a2000 00:12 80                               /dev/kgsl-3d0
7ff1c6000-7ff1c7000 rw-s 000a1000 00:12 80                               /dev/kgsl-3d0
7ff1c8000-7ff1cc000 rw-s 00090000 00:12 80                               /dev/kgsl-3d0
7ff1cc000-7ff1d0000 rw-s 0008c000 00:12 80                               /dev/kgsl-3d0
7ff1d1000-7ff1d2000 rw-s 00167000 00:12 80                               /dev/kgsl-3d0
7ff1d6000-7ff1d7000 rw-s 00166000 00:12 80                               /dev/kgsl-3d0
7ff1d7000-7ff1d8000 rw-s 00165000 00:12 80                               /dev/kgsl-3d0
7ff1d8000-7ff1d9000 rw-s 00164000 00:12 80                               /dev/kgsl-3d0
7ff1d9000-7ff1da000 rw-s 00163000 00:12 80                               /dev/kgsl-3d0
7ff1da000-7ff1db000 rw-s 00162000 00:12 80                               /dev/kgsl-3d0
7ff1db000-7ff1dc000 rw-s 00161000 00:12 80                               /dev/kgsl-3d0
7ff210000-7ff230000 rw-s 00089000 00:12 80                               /dev/kgsl-3d0
7ff230000-7ff250000 rw-s 0009d000 00:12 80                               /dev/kgsl-3d0
7ff280000-7ff2a0000 rw-s 00026000 00:12 80                               /dev/kgsl-3d0
7ff2d0000-7ff2f0000 rw-s 0019c000 00:12 80                               /dev/kgsl-3d0
7ff320000-7ff330000 rw-s 0018f000 00:12 80                               /dev/kgsl-3d0
7ff330000-7ff340000 rw-s 0018c000 00:12 80                               /dev/kgsl-3d0
7ff3e0000-7ff400000 rw-s 00099000 00:12 80                               /dev/kgsl-3d0
7ff420000-7ff440000 rw-s 00080000 00:12 80                               /dev/kgsl-3d0
7ff440000-7ff460000 rw-s 00142000 00:12 80                               /dev/kgsl-3d0
7ff490000-7ff4a0000 rw-s 00115000 00:12 80                               /dev/kgsl-3d0
7ff4b0000-7ff4c0000 rw-s 0001c000 00:12 80                               /dev/kgsl-3d0
7ff4f0000-7ff500000 rw-s 00193000 00:12 80                               /dev/kgsl-3d0
7ff500000-7ff520000 rw-s 00137000 00:12 80                               /dev/kgsl-3d0
7ff520000-7ff530000 rw-s 0018e000 00:12 80                               /dev/kgsl-3d0
7ff530000-7ff622000 rw-s 0012f000 00:12 80                               /dev/kgsl-3d0
7ff640000-7ff650000 rw-s 0016b000 00:12 80                               /dev/kgsl-3d0
7ff660000-7ff680000 rw-s 000da000 00:12 80                               /dev/kgsl-3d0
7ff680000-7ff690000 rw-s 000d4000 00:12 80                               /dev/kgsl-3d0
7ff690000-7ff78e000 rw-s 000b9000 00:12 80                               /dev/kgsl-3d0
7ff7a0000-7ff7b0000 rw-s 00191000 00:12 80                               /dev/kgsl-3d0
7ff7b0000-7ff7d0000 rw-s 0006f000 00:12 80                               /dev/kgsl-3d0
7ff874000-7ff876000 rw-s 000e5000 00:12 80                               /dev/kgsl-3d0
7ff880000-7ff8a0000 rw-s 00018000 00:12 80                               /dev/kgsl-3d0
7ff8a2000-7ff8a4000 rw-s 000bb000 00:12 80                               /dev/kgsl-3d0
7ff8aa000-7ff8ac000 rw-s 0014d000 00:12 80                               /dev/kgsl-3d0
7ff8b4000-7ff8b5000 rw-s 000aa000 00:12 80                               /dev/kgsl-3d0
7ff8b8000-7ff8ba000 rw-s 00146000 00:12 80                               /dev/kgsl-3d0
7ff8c0000-7ff8d0000 rw-s 00075000 00:12 80                               /dev/kgsl-3d0
7ff8d0000-7ff956000 rw-s 00074000 00:12 80                               /dev/kgsl-3d0
7ff957000-7ff958000 rw-s 0015b000 00:12 80                               /dev/kgsl-3d0
7ff958000-7ff959000 rw-s 0015a000 00:12 80                               /dev/kgsl-3d0
7ff959000-7ff95a000 rw-s 00159000 00:12 80                               /dev/kgsl-3d0
7ff95a000-7ff95e000 rw-s 0008b000 00:12 80                               /dev/kgsl-3d0
7ff95f000-7ff960000 rw-s 00158000 00:12 80                               /dev/kgsl-3d0
7ff960000-7ff980000 rw-s 00071000 00:12 80                               /dev/kgsl-3d0
7ff982000-7ff983000 rw-s 0013f000 00:12 80                               /dev/kgsl-3d0
7ff983000-7ff984000 rw-s 00088000 00:12 80                               /dev/kgsl-3d0
7ff984000-7ff985000 rw-s 00087000 00:12 80                               /dev/kgsl-3d0
7ff985000-7ff986000 rw-s 00086000 00:12 80                               /dev/kgsl-3d0
7ff986000-7ff987000 rw-s 00085000 00:12 80                               /dev/kgsl-3d0
7ff987000-7ff988000 rw-s 00084000 00:12 80                               /dev/kgsl-3d0
7ff988000-7ff989000 rw-s 00083000 00:12 80                               /dev/kgsl-3d0
7ff989000-7ff98a000 rw-s 0007c000 00:12 80                               /dev/kgsl-3d0
7ff98a000-7ff98b000 rw-s 0007b000 00:12 80                               /dev/kgsl-3d0
7ff98b000-7ff98c000 rw-s 0007a000 00:12 80                               /dev/kgsl-3d0
7ff98c000-7ff98d000 rw-s 00079000 00:12 80                               /dev/kgsl-3d0
7ff98d000-7ff98e000 rw-s 00078000 00:12 80                               /dev/kgsl-3d0
7ff98e000-7ff98f000 rw-s 00077000 00:12 80                               /dev/kgsl-3d0
7ff990000-7ff992000 rw-s 0011f000 00:12 80                               /dev/kgsl-3d0
7ff992000-7ff993000 rw-s 00153000 00:12 80                               /dev/kgsl-3d0
7ff993000-7ff997000 rw-s 00082000 00:12 80                               /dev/kgsl-3d0
7ff997000-7ff999000 rw-s 0006e000 00:12 80                               /dev/kgsl-3d0
7ff999000-7ff99d000 rw-s 0006d000 00:12 80                               /dev/kgsl-3d0
7ff99d000-7ff99e000 rw-s 0006c000 00:12 80                               /dev/kgsl-3d0
7ff99e000-7ff99f000 rw-s 0006b000 00:12 80                               /dev/kgsl-3d0
7ff99f000-7ff9a0000 rw-s 0006a000 00:12 80                               /dev/kgsl-3d0
7ff9a0000-7ff9a1000 rw-s 00069000 00:12 80                               /dev/kgsl-3d0
