[ 7254.951181] after: swapin tgid 15923 pid 16075 name "RenderThread" vma 7e5caa8000
[ 7254.951844] after: swapin tgid 15923 pid 16075 name "RenderThread" vma 7e5d310000
[ 7254.952007] after: swapin tgid 15923 pid 16075 name "RenderThread" vma 7e51f21000
[ 7254.952098] after: swapin tgid 15923 pid 16075 name "RenderThread" vma 7e51f1e000
[ 7254.952116] after: swapin tgid 15923 pid 16075 name "RenderThread" vma 7e51f1f000
[ 7254.952129] after: swapin tgid 15923 pid 16075 name "RenderThread" vma 7e51f20000
[ 7254.986843] after: swapin tgid 15923 pid 16075 name "RenderThread" vma 7e5d731000
[ 7254.986954] after: swapin tgid 15923 pid 16075 name "RenderThread" vma 7e5e21b000
[ 7254.986992] after: swapin tgid 15923 pid 16075 name "RenderThread" vma 7e5cad6000
[ 7254.993469] after: swapin tgid 15923 pid 15923 name "stagram.android" vma 6f631000
[ 7254.994955] after: swapin tgid 15923 pid 15923 name "stagram.android" vma 7e60ef1000
[ 7254.995680] after: swapin tgid 15923 pid 15923 name "stagram.android" vma 7ea3ee4000
[ 7255.000471] after: swapin tgid 15923 pid 15994 name "Thread-12" vma 7e2f546000
[ 7255.000537] after: swapin tgid 15923 pid 15994 name "Thread-12" vma 7e2f547000
[ 7255.004566] after: swapin tgid 15923 pid 16075 name "RenderThread" vma 7e6fe28000
[ 7255.027490] after: swapin tgid 15923 pid 15923 name "stagram.android" vma 7e2f548000
[ 7255.027528] after: swapin tgid 15923 pid 15923 name "stagram.android" vma 7e2f549000
[ 7255.041242] after: swapin tgid 15923 pid 15923 name "stagram.android" vma 7e7f830000
[ 7255.107332] after: swapin tgid 15923 pid 16075 name "RenderThread" vma 7e5321c000
[ 7255.397610] after: swapin tgid 15923 pid 16075 name "RenderThread" vma 7e5d8f8000
[ 7255.463004] after: swapin tgid 15923 pid 15923 name "stagram.android" vma 7e7f8c7000
[ 7255.520735] after: swapin tgid 15923 pid 16106 name "hwuiTask0" vma 7e9add1000
[ 7255.569772] after: swapin tgid 15923 pid 16263 name "UploadJobHandle" vma 7e610f5000
[ 7255.573224] after: swapin tgid 15923 pid 16263 name "UploadJobHandle" vma 7e9ad76000
[ 7255.573266] after: swapin tgid 15923 pid 16263 name "UploadJobHandle" vma 7e9ad77000
[ 7255.575802] after: swapin tgid 15923 pid 15994 name "Thread-12" vma 7e7f7d9000
[ 7255.576856] after: swapin tgid 15923 pid 2423 name "IgExecutorV2 #1" vma 7f2ddc8000
[ 7255.838860] after: swapin tgid 15923 pid 16075 name "RenderThread" vma 7e6fdd4000
[ 7255.838897] after: swapin tgid 15923 pid 16075 name "RenderThread" vma 7e6fdaa000
[ 7255.838914] after: swapin tgid 15923 pid 16075 name "RenderThread" vma 7e6fd88000
[ 7255.839044] after: swapin tgid 15923 pid 16075 name "RenderThread" vma 7e6fc1c000
[ 7255.856172] after: swapin tgid 15923 pid 16075 name "RenderThread" vma 7f20938000
[ 7255.856280] after: swapin tgid 15923 pid 16075 name "RenderThread" vma 7f20518000
[ 7255.856316] after: swapin tgid 15923 pid 16075 name "RenderThread" vma 7eaea74000
[ 7255.856338] after: swapin tgid 15923 pid 16075 name "RenderThread" vma 7f204ff000
[ 7255.856351] after: swapin tgid 15923 pid 16075 name "RenderThread" vma 7eaece4000
[ 7255.856457] after: swapin tgid 15923 pid 16075 name "RenderThread" vma 7f204f5000
[ 7255.856474] after: swapin tgid 15923 pid 16075 name "RenderThread" vma 7f20517000
[ 7255.856485] after: swapin tgid 15923 pid 16075 name "RenderThread" vma 7f204bc000
[ 7255.856495] after: swapin tgid 15923 pid 16075 name "RenderThread" vma 7f204c4000
[ 7255.856518] after: swapin tgid 15923 pid 16075 name "RenderThread" vma 7f20515000
[ 7255.856527] after: swapin tgid 15923 pid 16075 name "RenderThread" vma 7f20514000
[ 7255.856538] after: swapin tgid 15923 pid 16075 name "RenderThread" vma 7f20509000
[ 7255.856574] after: swapin tgid 15923 pid 16075 name "RenderThread" vma 7f2050a000
[ 7255.856582] after: swapin tgid 15923 pid 16075 name "RenderThread" vma 7f2050c000
[ 7255.856596] after: swapin tgid 15923 pid 16075 name "RenderThread" vma 7f2050b000
[ 7255.856618] after: swapin tgid 15923 pid 16075 name "RenderThread" vma 7f2050d000
[ 7255.856633] after: swapin tgid 15923 pid 16075 name "RenderThread" vma 7f204c3000
[ 7255.856701] after: swapin tgid 15923 pid 16075 name "RenderThread" vma 7f20516000
[ 7255.857202] after: swapin tgid 15923 pid 16075 name "RenderThread" vma 7e6fbda000
