# tracer: nop
#
# entries-in-buffer/entries-written: 11063/11063   #P:8
#
#                              _-----=> irqs-off
#                             / _----=> need-resched
#                            | / _---=> hardirq/softirq
#                            || / _--=> preempt-depth
#                            ||| /     delay
#           TASK-PID   CPU#  ||||    TIMESTAMP  FUNCTION
#              | |       |   ||||       |         |
           <...>-6807  [000] ....  1452.606382: read_swap_cache_async: remote readpage 6503 "Chrome_InProcGp" 7e9ae92000 3721bf
 send_target_man-200   [001] ...1  1473.293668: send_zram_to_nbd: target sent: 6503 7ed1842000 602126
 send_target_man-200   [001] ...1  1473.295799: send_zram_to_nbd: target sent: 6503 7e9abf5000 602127
 send_target_man-200   [001] ...1  1473.297739: send_zram_to_nbd: target sent: 6503 7e76370000 602128
 send_target_man-200   [003] ...1  1473.299865: send_zram_to_nbd: target sent: 6503 7e9a986000 602129
 send_target_man-200   [000] ...1  1473.303375: send_zram_to_nbd: target sent: 6503 7ea2dc9000 fa13b
 send_target_man-200   [000] ...1  1473.305328: send_zram_to_nbd: target sent: 6503 7ea2b9f000 5fe1e0
 send_target_man-200   [000] ...1  1473.308147: send_zram_to_nbd: target sent: 6503 7ea2da3000 5fe1e2
 send_target_man-200   [000] ...1  1473.310315: send_zram_to_nbd: target sent: 6503 7e99c9a000 5fe1e4
 send_target_man-200   [000] ...1  1473.314400: send_zram_to_nbd: target sent: 6503 7e9a19e000 5fe1e6
 send_target_man-200   [003] ...1  1473.317089: send_zram_to_nbd: target sent: 6503 7ea2d9e000 5fe1e8
 send_target_man-200   [003] ...1  1473.319226: send_zram_to_nbd: target sent: 6503 7ead12a000 fa13c
 send_target_man-200   [003] ...1  1473.321126: send_zram_to_nbd: target sent: 6503 7ea3291000 fa13d
 send_target_man-200   [003] ...1  1473.323969: send_zram_to_nbd: target sent: 6503 7eb02bc000 fa13e
 send_target_man-200   [000] ...1  1473.326373: send_zram_to_nbd: target sent: 6503 7eb029c000 fa13f
 send_target_man-200   [000] ...1  1473.329256: send_zram_to_nbd: target sent: 6503 7f2909d000 5fe1ee
 send_target_man-200   [003] ...1  1473.331870: send_zram_to_nbd: target sent: 6503 7eb03d2000 5fe1f0
 send_target_man-200   [001] ...1  1473.334246: send_zram_to_nbd: target sent: 6503 7f293f1000 fa140
 send_target_man-200   [000] ...1  1473.337750: send_zram_to_nbd: target sent: 6503 7eaed9c000 60212a
 send_target_man-200   [003] ...1  1473.339682: send_zram_to_nbd: target sent: 6503 7e9a258000 5fe1f4
 send_target_man-200   [003] ...1  1473.342215: send_zram_to_nbd: target sent: 6503 7ea2df3000 fa141
 send_target_man-200   [003] ...1  1473.344151: send_zram_to_nbd: target sent: 6503 7ea3369000 fa142
 send_target_man-200   [002] ...1  1473.347366: send_zram_to_nbd: target sent: 6503 7ea335f000 fa143
 send_target_man-200   [002] ...1  1473.348958: send_zram_to_nbd: target sent: 6503 7ea33c4000 60611b
 send_target_man-200   [002] ...1  1473.351512: send_zram_to_nbd: target sent: 6503 7ea333f000 60611c
 send_target_man-200   [002] ...1  1473.353320: send_zram_to_nbd: target sent: 6503 7ea3331000 60611d
 send_target_man-200   [002] ...1  1473.355392: send_zram_to_nbd: target sent: 6503 7ea3051000 60611e
 send_target_man-200   [002] ...1  1473.357675: send_zram_to_nbd: target sent: 6503 7ea2f8d000 60611f
 send_target_man-200   [002] ...1  1473.360229: send_zram_to_nbd: target sent: 6503 7ea32dd000 606120
 send_target_man-200   [002] ...1  1473.362233: send_zram_to_nbd: target sent: 6503 7ea3340000 606121
 send_target_man-200   [002] ...1  1473.364302: send_zram_to_nbd: target sent: 6503 7ea3317000 606122
 send_target_man-200   [002] ...1  1473.366949: send_zram_to_nbd: target sent: 6503 7ea2f57000 606123
 send_target_man-200   [002] ...1  1473.369873: send_zram_to_nbd: target sent: 6503 7eae60f000 606124
 send_target_man-200   [002] ...1  1473.371579: send_zram_to_nbd: target sent: 6503 7eae5b9000 606125
 send_target_man-200   [002] ...1  1473.373221: send_zram_to_nbd: target sent: 6503 7ea3296000 606126
 send_target_man-200   [002] ...1  1473.375397: send_zram_to_nbd: target sent: 6503 7ea3297000 606127
 send_target_man-200   [002] ...1  1473.377790: send_zram_to_nbd: target sent: 6503 7ea3189000 606128
 send_target_man-200   [002] ...1  1473.380933: send_zram_to_nbd: target sent: 6503 7ea2f16000 606129
 send_target_man-200   [002] ...1  1473.383381: send_zram_to_nbd: target sent: 6503 7eaedc0000 60612a
 send_target_man-200   [002] ...1  1473.385278: send_zram_to_nbd: target sent: 6503 7fbe178000 60612b
 send_target_man-200   [002] ...1  1473.387471: send_zram_to_nbd: target sent: 6503 7e9ae6d000 60612c
